Protein,10B_32 Protein Abundance,10NB_47 Protein Abundance,13B_46 Protein Abundance,13NB_33 Protein Abundance,21B_43 Protein Abundance,21NB_30 Protein Abundance,26B_28 Protein Abundance,26NB_45 Protein Abundance,66B_44 Protein Abundance,66NB_29 Protein Abundance,74B_31 Protein Abundance,74NB_48 Protein Abundance
lcl|c229340_g1_i1|m.14173,8.9744E+5,1.3635E+6,8.0011E+5,1.6028E+6,1.6247E+6,1.7284E+6,7.4912E+5,1.1275E+6,9.6085E+5,2.5587E+6,1.4891E+6,2.6886E+6
lcl|c229342_g3_i1|m.14175,6.2153E+5,8.7587E+5,8.8111E+5,9.1755E+5,1.0358E+6,1.1992E+6,7.4585E+5,1.5973E+6,9.7313E+5,1.5760E+6,1.1768E+6,1.8765E+6
lcl|c229348_g3_i2|m.14185,8.2389E+5,1.0041E+6,8.4448E+5,8.1845E+5,7.0344E+5,7.9921E+5,6.3887E+5,1.1129E+6,9.4254E+5,1.1412E+6,9.4524E+5,1.0862E+6
lcl|c229374_g5_i1|m.14220,7.1148E+5,1.1307E+6,1.0100E+6,1.1972E+6,1.2468E+6,1.6098E+6,6.3350E+5,1.7518E+6,1.1354E+6,1.8260E+6,8.6764E+5,1.5014E+6
lcl|c229412_g3_i1|m.14240,9.2311E+5,8.7808E+5,6.5506E+5,5.3845E+5,6.4955E+5,7.8037E+5,4.3802E+5,9.8860E+5,7.5107E+5,8.5661E+5,5.5283E+5,9.0514E+5
lcl|c229422_g1_i2|m.14250,9.6163E+6,1.4987E+7,1.3141E+7,1.5653E+7,1.7873E+7,1.6167E+7,7.5196E+6,1.2143E+7,8.5772E+6,1.9927E+7,1.5315E+7,2.2473E+7
lcl|c229422_g1_i9|m.14251,2.2442E+6,2.4075E+6,2.8593E+6,3.4876E+6,5.0442E+6,3.9706E+6,1.2037E+6,1.9149E+6,2.0260E+6,5.4479E+6,4.0131E+6,6.2805E+6
lcl|c229482_g2_i3|m.14286,2.2115E+6,1.7438E+6,4.6976E+6,3.4527E+6,3.3403E+6,2.8300E+6,2.2981E+6,2.2217E+6,3.0448E+6,5.5172E+6,2.7603E+6,4.7978E+6
lcl|c229494_g4_i7|m.14309,3.1378E+5,1.0328E+6,9.0665E+5,9.3780E+5,1.1624E+6,9.2322E+5,1.7323E+5,4.2951E+5,2.5827E+5,9.3677E+5,5.8103E+5,1.3854E+6
lcl|c229507_g2_i10|m.14342,1.5538E+6,2.2199E+6,2.2097E+6,1.9756E+6,1.0746E+6,1.1158E+6,1.5518E+6,3.0608E+6,2.4100E+6,3.0185E+6,2.4937E+6,2.9600E+6
lcl|c229507_g2_i4|m.14343,9.0597E+5,9.4852E+5,6.5063E+5,7.1451E+5,4.4161E+5,5.8168E+5,6.5199E+5,1.1755E+6,1.0077E+6,1.0586E+6,8.9741E+5,1.1500E+6
lcl|c229515_g4_i2|m.14353,1.1110E+8,1.2335E+8,1.0898E+8,1.1079E+8,9.8077E+7,1.0157E+8,9.6336E+7,1.4857E+8,1.1619E+8,1.0824E+8,1.1677E+8,1.3349E+8
lcl|c229532_g3_i4|m.14360,4.3632E+6,4.4736E+6,3.5360E+6,4.5758E+6,3.1832E+6,3.8761E+6,2.5948E+6,4.4413E+6,4.0060E+6,6.7752E+6,6.0279E+6,9.0214E+6
lcl|c229538_g7_i4|m.14373,3.8417E+6,5.4069E+6,3.1203E+6,3.2378E+6,3.1063E+6,3.9968E+6,2.9823E+6,5.7184E+6,3.6741E+6,5.2843E+6,3.8460E+6,5.0693E+6
lcl|c229550_g1_i3|m.14392,5.0506E+6,5.6502E+6,3.9250E+6,4.2401E+6,3.9835E+6,4.6456E+6,3.6281E+6,8.4092E+6,5.5393E+6,6.6119E+6,4.8774E+6,6.4889E+6
lcl|c229550_g1_i3|m.14393,5.3268E+6,6.2605E+6,4.4472E+6,4.7707E+6,4.3441E+6,5.0403E+6,4.2995E+6,8.3894E+6,6.3317E+6,7.1337E+6,5.5702E+6,6.5985E+6
lcl|c229561_g1_i12|m.14408,1.6542E+6,1.9574E+6,1.6261E+6,1.4623E+6,1.5828E+6,1.5902E+6,1.0172E+6,1.8017E+6,1.7822E+6,2.2432E+6,1.5063E+6,1.9483E+6
lcl|c229563_g2_i2|m.14411,5.2330E+5,4.9594E+5,4.2769E+5,4.7947E+5,5.2202E+5,5.2287E+5,3.9839E+5,6.8238E+5,5.4474E+5,5.5688E+5,5.1782E+5,7.4041E+5
lcl|c229582_g1_i2|m.14429,2.2453E+5,7.2484E+5,7.4365E+5,1.0857E+6,9.5144E+5,8.4701E+5,8.5691E+4,3.9570E+5,2.8423E+5,7.7204E+5,5.9150E+5,1.3938E+6
lcl|c229583_g3_i7|m.14431,1.2455E+6,2.8007E+6,2.1021E+6,2.4781E+6,3.1175E+6,3.2071E+6,1.0550E+6,1.3509E+6,1.0944E+6,2.9089E+6,2.2377E+6,3.9440E+6
lcl|c229615_g3_i4|m.14451,1.1691E+6,1.3661E+6,9.8272E+5,1.1022E+6,8.5785E+5,1.1199E+6,7.1235E+5,2.5166E+6,1.2867E+6,1.4634E+6,1.4940E+6,1.9337E+6
lcl|c229646_g1_i2|m.14480,3.4315E+5,4.8209E+5,2.9250E+5,2.0003E+5,6.9239E+5,9.0084E+5,5.4534E+5,5.1233E+5,5.4441E+5,8.1503E+5,2.8971E+5,9.2663E+5
lcl|c229658_g3_i1|m.14486,5.5930E+5,1.0844E+6,8.3956E+5,1.1389E+6,1.0890E+6,1.2989E+6,3.4804E+5,7.9769E+5,6.5380E+5,1.3107E+6,7.2607E+5,1.1625E+6
lcl|c229705_g1_i1|m.14556,1.4638E+6,5.3949E+6,3.2053E+6,4.9404E+6,6.3522E+6,5.7626E+6,6.9477E+5,1.4404E+6,1.3098E+6,5.5778E+6,3.3040E+6,8.3768E+6
lcl|c229735_g7_i1|m.14573,1.0201E+6,2.4511E+6,1.7769E+6,2.7846E+6,2.4271E+6,2.5882E+6,6.4793E+5,1.5288E+6,1.2587E+6,4.3009E+6,2.0553E+6,4.3567E+6
lcl|c229751_g1_i1|m.14591,9.3319E+5,1.1583E+6,4.1709E+5,7.8324E+5,7.6792E+5,8.7638E+5,8.7359E+5,1.4264E+6,9.3152E+5,1.3902E+6,8.2109E+5,1.3905E+6
lcl|c229751_g1_i2|m.14592,2.6051E+6,2.8460E+6,2.5689E+6,2.2155E+6,2.2265E+6,2.1338E+6,3.2019E+6,3.8065E+6,2.7413E+6,3.0397E+6,2.4653E+6,2.9866E+6
lcl|c229781_g4_i1|m.14624,1.7206E+7,1.5571E+7,1.1862E+7,1.2687E+7,2.1231E+7,1.8134E+7,1.8135E+7,1.7208E+7,1.9475E+7,1.9654E+7,1.9720E+7,2.5294E+7
lcl|c229808_g3_i3|m.14640,1.6516E+6,1.8380E+6,7.8539E+5,1.0942E+6,1.1144E+6,9.0662E+5,5.4148E+5,1.0700E+6,1.1489E+6,1.3698E+6,9.8086E+5,1.4209E+6
lcl|c229826_g4_i5|m.14661,1.5653E+5,4.7810E+5,4.7867E+5,7.3501E+5,1.0266E+6,8.4111E+5,8.9930E+4,2.0271E+5,1.4210E+5,9.5978E+5,4.3091E+5,1.3004E+6
lcl|c229841_g2_i1|m.14675,6.7994E+6,4.6927E+6,2.6403E+6,4.0898E+6,3.1442E+6,2.9924E+6,2.6865E+6,5.7067E+6,5.2791E+6,4.7207E+6,5.5347E+6,7.4153E+6
lcl|c229841_g2_i2|m.14676,1.7716E+6,1.3307E+6,8.0514E+5,1.0723E+6,7.9096E+5,9.3920E+5,8.7547E+5,1.8146E+6,1.9593E+6,2.2557E+6,1.4133E+6,2.5583E+6
lcl|c229881_g6_i6|m.14719,4.6086E+6,4.8306E+6,3.1459E+6,3.3721E+6,2.9144E+6,3.4559E+6,2.2821E+6,4.5075E+6,3.4199E+6,4.6006E+6,3.0946E+6,3.9487E+6
lcl|c229898_g2_i1|m.14743,1.9393E+6,2.8033E+6,2.1771E+6,1.3674E+6,1.3148E+6,1.6995E+6,1.7829E+6,3.8504E+6,2.0626E+6,2.6227E+6,2.1732E+6,2.7188E+6
lcl|c229913_g3_i1|m.14763,2.6261E+6,2.8745E+6,2.3021E+6,2.3429E+6,2.6072E+6,2.3731E+6,1.8324E+6,3.8141E+6,2.6461E+6,3.0521E+6,2.3958E+6,3.2071E+6
lcl|c229917_g4_i4|m.14770,7.9470E+5,9.2959E+5,1.0857E+6,6.3690E+5,8.9210E+5,4.9775E+5,6.1551E+5,1.1156E+6,9.1256E+5,1.3174E+6,1.0700E+6,1.0969E+6
lcl|c229936_g2_i1|m.14790,7.4425E+5,1.1096E+6,3.6524E+5,7.8189E+5,5.3842E+5,6.7744E+5,4.2375E+5,1.7003E+6,9.0306E+5,1.3689E+6,7.5474E+5,1.3838E+6
lcl|c229939_g1_i1|m.14795,4.5214E+6,2.3104E+7,8.5230E+6,9.0094E+6,9.6739E+6,1.8510E+7,1.8220E+6,3.7723E+6,1.8590E+6,9.0292E+6,6.3332E+6,1.6325E+7
lcl|c229957_g1_i1|m.14808,2.2775E+5,7.7494E+5,8.7004E+5,8.3865E+5,1.0037E+6,9.7291E+5,1.6415E+5,2.8045E+5,2.8400E+5,1.0874E+6,5.4999E+5,1.1846E+6
lcl|c230011_g2_i4|m.14860,7.1435E+5,8.1903E+5,5.8822E+5,6.7725E+5,4.5915E+5,6.1131E+5,3.6230E+5,1.1154E+6,6.2545E+5,7.6756E+5,8.1692E+5,1.0404E+6
lcl|c230011_g2_i5|m.14861,1.3156E+6,1.1868E+6,8.6774E+5,1.1074E+6,8.0771E+5,1.3061E+6,8.5335E+5,1.7308E+6,1.3967E+6,1.9564E+6,1.2011E+6,1.8055E+6
lcl|c230034_g1_i1|m.14877,1.5971E+6,2.2862E+6,1.5249E+6,1.8335E+6,1.5719E+6,1.9806E+6,1.4271E+6,2.1010E+6,1.9161E+6,2.8576E+6,2.4382E+6,4.2642E+6
lcl|c230054_g1_i7|m.14897,1.1427E+6,1.3925E+6,1.3122E+6,1.4498E+6,1.3240E+6,1.6593E+6,9.5770E+5,2.0601E+6,1.3789E+6,1.8811E+6,1.5906E+6,1.8971E+6
lcl|c230065_g1_i2|m.14908,5.0539E+6,6.7797E+6,4.1500E+6,3.2176E+6,3.4293E+6,4.7378E+6,3.6533E+6,7.4552E+6,4.2925E+6,7.3246E+6,6.8044E+6,7.2259E+6
lcl|c230073_g1_i10|m.14919,2.5194E+6,3.2373E+6,2.7366E+6,3.0377E+6,3.9715E+6,4.3317E+6,1.6736E+6,4.9239E+6,3.6943E+6,4.8863E+6,3.7146E+6,6.7264E+6
lcl|c230102_g4_i1|m.14957,2.3823E+6,2.7861E+6,2.7922E+6,2.7946E+6,3.2983E+6,1.7535E+6,1.4521E+6,2.4481E+6,2.4867E+6,2.9124E+6,2.6257E+6,3.6161E+6
lcl|c230124_g3_i6|m.14973,2.3150E+6,2.4591E+6,2.0130E+6,2.3935E+6,1.6627E+6,2.0819E+6,1.6143E+6,3.4225E+6,2.3422E+6,3.4586E+6,2.6188E+6,3.6744E+6
