"","PROTID","X2021_01_20_CORALEGGS_10B_23_NUMSPECSTOT","X2021_01_20_CORALEGGS_10NB_13_NUMSPECSTOT","X2021_01_20_CORALEGGS_13B_07_NUMSPECSTOT","X2021_01_20_CORALEGGS_13NB_22_NUMSPECSTOT","X2021_01_20_CORALEGGS_21B_17_NUMSPECSTOT","X2021_01_20_CORALEGGS_21NB_09_NUMSPECSTOT","X2021_01_20_CORALEGGS_26B_21_NUMSPECSTOT","X2021_01_20_CORALEGGS_26NB_15_NUMSPECSTOT","X2021_01_20_CORALEGGS_66B_14_NUMSPECSTOT","X2021_01_20_CORALEGGS_66NB_16_NUMSPECSTOT","X2021_01_20_CORALEGGS_74B_08_NUMSPECSTOT","X2021_01_20_CORALEGGS_74NB_20_NUMSPECSTOT"
"1249","lcl|c237291_g3_i3|m.23123",4,10,6,9,10,9,3,1,4,9,7,7
"1250","lcl|c237405_g1_i2|m.23236",3,3,3,2,2,2,4,1,3,3,2,2
"1251","lcl|c237560_g2_i1|m.23397",6,4,5,8,10,7,9,6,10,9,5,7
"1252","lcl|c237587_g5_i1|m.23455",2,3,2,3,1,2,3,5,3,5,4,1
"1253","lcl|c237612_g2_i11|m.23489",1,1,1,1,1,1,2,1,0,0,1,2
"1254","lcl|c237730_g2_i10|m.23656",0,1,2,1,4,3,0,0,0,1,3,1
"1255","lcl|c210444_g2_i1|m.2183",17,11,13,14,14,15,17,19,18,16,16,13
"1256","lcl|c237730_g2_i10|m.23657",1,1,2,1,1,3,1,0,1,2,1,1
"1257","lcl|c237804_g3_i3|m.23770",1,0,1,1,1,1,1,0,1,0,1,0
"1258","lcl|c237894_g6_i1|m.23869",0,0,1,0,1,1,0,1,1,1,0,3
"1259","lcl|c238037_g4_i6|m.24021",0,0,0,0,0,1,1,2,2,0,2,3
"1260","lcl|c238052_g1_i4|m.24050",13,15,10,11,10,9,16,15,14,17,14,18
"1261","lcl|c238173_g3_i3|m.24203",5,2,4,3,2,4,3,5,3,3,5,4
"1262","lcl|c238192_g2_i2|m.24225",0,2,0,2,3,4,0,0,0,2,1,2
"1263","lcl|c238365_g3_i1|m.24425",2,1,1,2,2,1,1,2,3,3,2,3
"1264","lcl|c238378_g1_i1|m.24441",3,2,2,2,3,3,3,4,3,3,3,3
"1265","lcl|c238537_g2_i7|m.24631",8,12,7,9,10,8,12,10,10,10,8,8
"1266","lcl|c210529_g2_i1|m.2194",11,17,22,19,31,26,9,8,8,24,23,29
"1267","lcl|c238572_g3_i3|m.24677",8,12,11,12,11,9,10,11,13,14,11,12
"1268","lcl|c238581_g1_i1|m.24692",8,8,4,7,9,6,6,8,9,11,7,11
"1269","lcl|c238662_g3_i1|m.24774",0,0,0,1,1,0,1,1,1,2,1,1
"1270","lcl|c238932_g1_i1|m.25092",1,2,0,0,0,1,0,0,0,0,0,0
"1271","lcl|c239101_g4_i2|m.25293",2,4,3,4,6,3,0,1,2,6,4,6
"1272","lcl|c239125_g3_i2|m.25324",3,3,1,3,3,2,2,2,2,2,2,3
"1273","lcl|c239145_g1_i2|m.25349",2,2,0,2,1,3,2,1,1,1,3,2
"1274","lcl|c239219_g5_i1|m.25453",3,4,5,9,8,5,2,0,2,5,4,9
"1275","lcl|c239229_g3_i10|m.25471",1,0,0,1,0,1,1,1,3,4,1,1
"1276","lcl|c239343_g4_i4|m.25612",1,2,1,1,3,0,2,1,2,4,2,2
"1277","lcl|c210532_g1_i1|m.2196",0,2,2,1,2,3,1,2,1,2,2,2
"1278","lcl|c239587_g1_i1|m.26015",1,0,2,1,1,2,1,2,3,0,2,2
"1279","lcl|c239662_g2_i17|m.26116",0,1,1,1,0,0,0,2,2,3,0,0
"1280","lcl|c239682_g2_i1|m.26160",0,1,1,1,1,0,2,1,2,2,0,0
"1281","lcl|c239700_g3_i1|m.26205",1,3,3,1,4,1,2,5,4,5,2,4
"1282","lcl|c239870_g3_i6|m.26454",2,1,0,1,1,0,0,0,2,1,2,2
"1283","lcl|c239883_g8_i2|m.26469",3,1,5,1,2,1,2,3,3,3,3,3
"1284","lcl|c239887_g1_i1|m.26471",2,4,3,3,3,5,1,3,2,4,4,6
"1285","lcl|c239893_g3_i11|m.26493",1,1,1,1,2,1,1,1,1,1,1,2
"1286","lcl|c210735_g5_i3|m.2260",2,3,3,3,3,5,2,3,4,4,3,5
"1287","lcl|c239931_g2_i1|m.26539",3,1,0,1,1,2,2,1,1,1,0,3
"1288","lcl|c239962_g2_i3|m.26573",2,0,1,2,2,0,3,2,3,1,1,3
"1289","lcl|c240022_g4_i3|m.26654",0,0,0,2,1,0,1,0,0,0,1,1
"1290","lcl|c240106_g2_i2|m.26779",2,0,5,3,0,0,0,1,1,2,5,7
"1291","lcl|c240216_g1_i1|m.26919",0,0,2,2,2,2,0,0,0,1,0,1
"1292","lcl|c240251_g4_i1|m.26961",2,1,3,2,1,2,2,4,1,1,5,3
"1293","lcl|c240253_g1_i1|m.26963",4,3,3,4,4,3,2,4,5,6,4,3
"1294","lcl|c240274_g5_i1|m.26994",2,2,1,2,3,2,2,2,2,2,2,3
"1295","lcl|c240327_g5_i1|m.27085",2,2,0,0,1,0,2,0,1,3,1,1
"1296","lcl|c240380_g1_i4|m.27156",0,0,0,1,0,0,1,3,0,2,0,0
"1297","WP_034242136.1",0,1,0,0,0,0,0,0,0,1,0,0
"1298","lcl|c210797_g1_i1|m.2276",0,1,1,1,1,1,0,0,0,2,1,0
"1299","lcl|c240435_g1_i3|m.27251",0,1,1,1,1,0,0,0,0,0,0,1
"1300","lcl|c240521_g1_i4|m.27364",3,4,2,2,2,4,2,1,3,2,5,3
"1301","lcl|c240612_g3_i4|m.27482",0,1,1,3,2,4,0,0,1,2,1,2
"1302","lcl|c240628_g3_i3|m.27511",5,4,5,6,8,4,3,2,4,7,5,4
"1303","lcl|c240640_g2_i1|m.27531",1,2,3,3,1,3,2,4,2,3,3,2
"1304","lcl|c240761_g2_i10|m.27710",1,1,1,3,0,1,0,0,0,1,2,2
"1305","lcl|c240787_g1_i1|m.27744",2,2,2,2,1,2,0,0,0,0,2,1
"1306","lcl|c240793_g1_i1|m.27747",2,2,2,1,1,2,1,1,1,2,1,1
"1307","lcl|c240828_g2_i2|m.27775",1,1,1,1,1,1,2,1,1,0,1,1
"1308","lcl|c210994_g1_i1|m.2320",9,11,9,11,10,14,11,14,8,12,13,14
"1309","lcl|c240833_g3_i3|m.27779",1,1,3,1,1,1,1,4,2,1,2,3
"1310","lcl|c240857_g5_i1|m.27819",8,8,9,8,12,8,4,5,8,13,10,13
"1311","lcl|c240904_g2_i1|m.27923",8,6,3,4,5,5,6,10,6,5,6,6
"1312","lcl|c240911_g1_i2|m.27934",2,4,3,5,5,4,2,2,2,6,4,5
"1313","lcl|c240930_g1_i2|m.27958",3,2,2,2,1,2,2,3,4,2,4,3
"1314","lcl|c241017_g3_i4|m.28068",2,1,1,1,1,1,1,2,1,1,2,1
"1315","lcl|c241022_g4_i5|m.28088",1,1,0,0,1,1,0,1,1,0,0,0
"1316","lcl|c241031_g1_i1|m.28098",34,27,19,20,22,20,22,19,35,35,32,25
"1317","lcl|c241148_g1_i6|m.28240",1,1,2,1,1,0,1,2,2,1,2,1
"1318","lcl|c241197_g1_i1|m.28305",0,1,1,0,1,1,0,2,1,2,1,0
"1319","lcl|c211249_g1_i1|m.2384",1,2,1,2,2,1,0,0,0,2,0,0
"1320","lcl|c241223_g1_i2|m.28328",2,2,2,2,2,2,2,5,1,2,2,4
"1321","lcl|c241251_g1_i1|m.28362",1,1,1,1,2,3,0,0,1,1,0,0
"1322","lcl|c241286_g1_i3|m.28381",0,0,0,0,1,2,0,0,0,1,1,1
"1323","lcl|c241299_g1_i6|m.28386",7,7,3,5,4,6,5,11,9,10,10,7
"1324","lcl|c241349_g1_i1|m.28471",2,1,3,1,1,2,2,4,2,2,2,1
"1325","lcl|c241466_g2_i10|m.28615",1,2,1,2,3,2,0,3,2,1,0,1
"1326","lcl|c241500_g1_i1|m.28663",2,3,2,1,3,1,0,3,5,3,5,3
"1327","lcl|c241500_g1_i1|m.28664",0,2,0,0,1,0,0,0,1,1,1,2
"1328","lcl|c241516_g1_i3|m.28672",5,4,7,8,9,9,3,3,3,6,7,8
"1329","lcl|c241649_g4_i1|m.28823",1,2,2,3,2,5,3,6,3,6,2,3
"1330","lcl|c211278_g7_i1|m.2402",0,4,2,7,5,5,0,0,2,5,3,5
"1331","lcl|c241650_g2_i3|m.28826",8,16,12,12,15,10,15,15,15,17,13,13
"1332","lcl|c241754_g2_i1|m.28913",1,1,1,3,2,3,3,4,0,0,4,2
"1333","lcl|c241873_g2_i3|m.29039",1,2,1,3,2,2,3,1,1,2,2,2
"1334","lcl|c242047_g5_i1|m.29305",1,0,0,0,1,1,1,1,0,1,0,3
"1335","lcl|c242066_g1_i1|m.29327",6,4,1,3,4,5,4,4,6,6,5,5
"1336","lcl|c242089_g1_i1|m.29373",6,3,3,1,5,4,2,3,5,6,3,4
"1337","lcl|c242193_g2_i1|m.29501",0,0,1,1,0,0,1,0,1,0,1,1
"1338","lcl|c242246_g1_i5|m.29540",1,2,1,3,3,3,1,0,0,1,4,4
"1339","lcl|c242527_g2_i1|m.29909",2,1,2,1,1,1,3,3,3,2,1,3
"1340","lcl|c211368_g3_i1|m.2426",4,2,0,2,1,0,1,5,4,2,2,3
"1341","lcl|c242581_g1_i1|m.29984",3,2,2,2,2,2,3,2,3,2,3,2
"1342","lcl|c242793_g1_i1|m.30227",5,1,4,3,8,7,8,4,8,8,3,3
"1343","lcl|c242885_g1_i1|m.30332",1,7,6,10,14,10,1,1,2,8,5,11
"1344","lcl|c243039_g1_i1|m.30534",0,1,1,0,3,1,0,0,0,0,1,2
"1345","lcl|c243077_g3_i1|m.30580",1,1,1,2,1,1,1,1,1,2,1,2
"1346","lcl|c243086_g4_i2|m.30593",3,3,3,3,3,2,3,3,3,3,3,3
"1347","lcl|c243154_g1_i1|m.30688",5,6,3,6,6,8,3,3,4,7,5,6
"1348","lcl|c243308_g5_i1|m.30798",2,2,2,2,1,2,1,2,2,1,2,1
"1349","lcl|c211725_g14_i3|m.2532",0,1,1,3,2,2,0,0,0,3,2,2
"1350","lcl|c243349_g1_i4|m.30872",7,7,7,8,7,13,6,7,6,9,6,11
"1351","lcl|c243503_g5_i1|m.31038",7,5,5,5,5,6,5,3,5,5,2,6
"1352","lcl|c243516_g2_i1|m.31047",2,1,1,1,1,1,1,2,2,1,1,1
"1353","lcl|c243554_g1_i5|m.31071",1,2,2,1,1,1,1,3,2,2,2,2
"1354","lcl|c243614_g4_i2|m.31123",0,1,1,0,2,1,0,0,0,0,0,0
"1355","lcl|c243765_g1_i1|m.31282",1,1,2,4,1,1,0,3,4,3,2,2
"1356","lcl|c243774_g1_i2|m.31291",5,8,6,10,10,8,6,5,11,12,8,7
"1357","lcl|c243791_g1_i1|m.31323",2,2,3,2,2,2,2,2,2,2,2,2
"1358","lcl|c243893_g1_i1|m.31474",10,7,8,9,8,15,8,13,12,11,12,9
"1359","lcl|c211774_g2_i1|m.2538",1,1,2,1,1,1,1,2,1,1,1,2
"1360","lcl|c243899_g1_i1|m.31482",40,35,33,34,28,35,45,56,37,38,44,48
"1361","lcl|c243935_g1_i3|m.31546",3,3,2,4,2,1,1,3,3,3,5,3
"1362","lcl|c243954_g3_i1|m.31569",3,4,4,2,3,3,2,5,3,4,5,2
"1363","lcl|c244084_g2_i1|m.31724",2,2,1,2,4,0,4,3,2,2,3,2
"1364","lcl|c244126_g1_i2|m.31771",2,3,0,2,2,1,3,3,2,3,3,4
"1365","lcl|c244145_g1_i1|m.31801",7,7,6,6,7,7,2,8,3,7,7,5
"1366","lcl|c244151_g1_i1|m.31810",1,1,2,1,3,1,0,0,0,1,1,2
"1367","lcl|c244169_g2_i1|m.31846",2,3,1,2,1,1,2,2,1,2,2,2
"1368","lcl|c244173_g1_i4|m.31852",1,3,0,1,2,1,1,2,2,1,1,3
"1369","lcl|c244235_g1_i2|m.31919",2,2,1,1,1,3,1,4,2,1,1,1
"1370","lcl|c211850_g3_i1|m.2552",5,9,7,9,6,7,5,6,5,7,6,8
"1371","lcl|c244255_g3_i1|m.31943",4,3,3,3,4,5,3,5,3,4,3,6
"1372","lcl|c244264_g3_i1|m.31952",2,2,0,1,1,0,0,3,0,0,2,1
"1373","lcl|c244315_g1_i2|m.32024",1,1,1,4,3,2,2,3,2,4,3,3
"1374","lcl|c244342_g1_i1|m.32068",3,1,1,2,1,1,1,3,1,1,1,2
"1375","lcl|c244347_g1_i1|m.32074",0,3,5,8,5,6,0,1,1,2,2,4
"1376","lcl|c244372_g1_i1|m.32092",0,2,1,2,0,1,0,1,1,1,3,1
"1377","lcl|c244396_g1_i1|m.32137",5,3,2,4,2,5,4,4,3,3,2,4
"1378","lcl|c244407_g1_i3|m.32143",10,10,9,10,9,10,6,6,7,9,10,11
"1379","lcl|c244439_g1_i1|m.32192",8,11,12,13,14,12,11,9,10,11,13,15
"1380","lcl|c244441_g1_i1|m.32200",0,1,2,2,2,1,1,1,0,1,1,3
"1381","lcl|c211914_g5_i4|m.2567",0,0,2,1,0,0,0,0,0,0,0,0
"1382","lcl|c244474_g3_i1|m.32253",3,2,3,2,2,2,4,2,3,2,2,2
"1383","lcl|c244499_g2_i2|m.32296",7,5,2,6,3,3,2,8,6,7,6,8
"1384","lcl|c244500_g1_i4|m.32298",0,1,1,1,1,2,0,0,0,0,1,1
"1385","lcl|c244508_g1_i1|m.32310",3,3,2,1,1,0,1,3,3,2,3,3
"1386","lcl|c8051_g1_i1|m.32674",0,0,0,0,0,0,0,0,2,2,0,0
"1387","lcl|c84792_g1_i1|m.32689",3,3,3,4,4,3,1,0,2,3,2,4
"1388","lcl|c99487_g1_i1|m.32745",1,4,1,2,3,3,0,0,1,2,2,2
"1389","lcl|c212026_g3_i1|m.2608",13,7,8,12,8,12,10,15,12,19,14,9
"1390","A0A0K0VKB7",3,3,5,6,3,2,3,4,4,3,1,3
"1391","A0A1Q9AC27",2,0,0,0,0,0,2,0,1,0,0,0
"1392","A0A1Q9C2H4",0,1,0,0,0,0,0,0,1,0,0,0
"1393","A0A1Q9CBJ7",1,1,1,1,0,1,1,2,1,1,1,1
"1394","A0A1Q9CBL0",0,0,2,3,1,0,0,0,0,0,0,0
"1395","A0A1Q9CGR1",2,4,4,3,4,4,2,2,2,3,4,4
"1396","A0A1Q9CHE4",0,0,1,0,0,0,0,0,0,0,1,0
"1398","WP_046758727.1",1,0,0,0,0,0,0,1,0,0,0,0
"1399","lcl|c212259_g2_i2|m.2667",0,0,1,0,2,0,0,0,0,1,0,0
"1400","A0A1Q9CI42",0,0,0,1,0,0,1,0,0,0,0,0
"1401","A0A1Q9CKU1",0,0,0,1,0,0,0,0,0,1,1,1
"1402","A0A1Q9CUV4",3,6,0,1,4,5,4,7,6,6,6,2
"1403","A0A1Q9CW54",4,3,6,4,5,6,4,3,4,5,4,3
"1404","A0A1Q9CXB4",2,4,3,4,1,4,3,3,2,4,4,3
"1405","A0A1Q9CXU8",0,0,0,0,1,0,1,0,0,0,0,0
"1406","A0A1Q9CYG6",1,1,1,1,2,2,0,0,1,1,1,1
"1407","A0A1Q9D014",2,1,3,2,1,2,2,1,0,1,1,0
"1408","A0A1Q9D100",1,0,0,0,0,0,0,0,1,0,0,0
"1409","lcl|c212804_g1_i1|m.2848",3,2,2,3,2,1,2,2,2,3,4,3
"1410","A0A1Q9D3X8",2,4,3,3,3,3,2,3,3,3,3,3
"1411","A0A1Q9D924",0,0,0,1,0,0,2,0,0,0,0,0
"1412","A0A1Q9DII3",1,0,0,0,1,0,0,0,0,0,0,0
"1413","A0A1Q9DIS8",1,1,0,0,0,1,3,2,0,1,1,1
"1414","A0A1Q9DUD9",0,0,0,0,1,0,1,2,1,0,2,0
"1415","A0A1Q9DUV2",1,0,0,0,0,0,0,0,0,0,0,1
"1416","A0A1Q9DWV2",1,0,1,1,1,1,1,1,1,1,0,2
"1417","A0A1Q9E698",1,0,0,0,0,0,0,0,0,1,0,0
"1418","A0A1Q9E704",0,1,4,3,2,1,1,0,1,0,1,0
"1419","A0A1Q9ECT7",0,0,1,1,0,0,0,0,0,2,1,0
"1420","lcl|c212813_g1_i1|m.2853",1,1,2,0,1,1,1,2,0,1,2,1
"1421","A0A1Q9ELC0",1,0,0,0,0,1,0,0,0,0,0,0
"1422","A0A1Q9ESW6",1,0,0,0,1,0,0,0,0,0,0,0
"1423","A0A1Q9ESZ4",0,0,1,2,1,0,1,1,0,1,0,2
"1424","A0A1Q9EXZ0",0,0,0,0,0,2,0,0,0,0,0,1
"1425","A0A1Q9F2R5",0,0,0,0,0,0,0,0,1,0,0,1
"1426","A0A1Q9F467",1,1,1,0,1,0,1,1,0,0,1,0
"1427","E0WEC8",1,1,4,3,3,2,0,1,1,1,0,1
"1428","E0WED7",0,0,2,2,1,0,0,0,0,0,0,0
"1429","T1PTZ4",0,1,0,1,0,0,0,0,1,1,0,1
"1430","lcl|c212826_g3_i1|m.2861",16,22,21,16,25,26,9,16,11,22,21,23
"1431","U5LU60",3,2,2,2,2,2,1,2,1,3,3,1
"1432","WP_109760920.1",10,9,10,9,10,13,7,10,7,9,11,9
"1433","WP_066688199.1",17,15,14,20,17,19,10,16,11,18,16,19
"1434","WP_057462966.1",7,6,7,6,8,6,5,6,6,8,8,7
"1435","A0A1Q9F5D7",5,7,6,7,8,5,6,7,5,7,6,6
"1436","A0A1Q9CAD5",3,4,5,3,4,4,4,5,3,4,5,4
"1437","WP_027137893.1",3,4,3,4,4,3,3,5,3,3,3,5
"1438","WP_055188436.1",2,4,3,3,4,3,3,4,3,3,4,4
"1439","WP_200280228.1",12,11,9,13,10,14,5,12,8,13,13,11
"1440","WP_183196559.1",2,4,3,3,4,3,3,4,4,3,3,4
"1441","WP_011446044.1",2,5,3,4,5,4,3,5,4,4,3,4
"1442","lcl|c195747_g2_i1|m.945",18,20,19,19,16,20,12,21,14,24,23,23
"1443","Q2HX32",21,27,28,30,28,31,21,24,22,29,25,32
"1444","A9YYK3",6,10,5,4,3,6,5,6,4,8,6,5
"1445","A0A0D3L4M9",12,10,10,12,10,11,6,10,8,13,11,12
"1446","A0A1Q9DXV4",0,4,1,1,1,4,2,3,2,2,2,3
"1447","A0A1Q9CDK2",1,1,2,1,3,4,2,1,2,4,0,3
"1448","lcl|c201696_g3_i1|m.1219",5,3,3,3,4,3,3,5,5,5,4,5
"1449","lcl|c205012_g1_i1|m.1420",3,3,1,3,5,2,0,1,0,2,1,3
"1450","lcl|c223351_g1_i1|m.9046",0,0,0,3,1,0,0,1,0,1,4,2
"1451","lcl|c206182_g1_i1|m.1515",3,1,2,2,0,1,2,2,2,3,1,1
"1452","lcl|c207960_g1_i1|m.1712",11,10,10,9,11,13,8,11,5,13,11,14
"1453","lcl|c209405_g4_i1|m.1961",0,0,1,1,2,2,0,0,0,1,2,2
"1454","lcl|c209570_g1_i3|m.2003",1,0,1,3,2,2,2,2,2,2,3,4
"1455","lcl|c210031_g1_i2|m.2100",6,6,3,2,3,4,3,7,6,3,2,5
"1456","lcl|c210253_g1_i2|m.2149",12,7,11,11,7,8,6,12,9,9,8,9
"1457","lcl|c210342_g3_i4|m.2163",2,2,0,2,2,2,2,2,2,2,1,1
"1458","lcl|c210423_g1_i5|m.2178",3,4,5,3,2,4,2,3,2,3,1,4
"1459","lcl|c210442_g1_i1|m.2181",2,3,5,5,6,6,0,0,2,4,3,4
"1460","lcl|c210670_g1_i7|m.2234",1,3,1,1,3,3,0,0,0,3,1,2
"1461","lcl|c210749_g1_i1|m.2273",15,14,16,13,16,17,12,15,18,18,16,16
"1462","lcl|c219546_g2_i1|m.6439",10,10,9,8,11,9,8,9,11,12,10,13
"1463","lcl|c219662_g1_i2|m.6507",8,8,9,5,14,14,8,8,13,10,10,12
"1464","lcl|c225323_g2_i2|m.10522",3,3,7,7,8,8,5,4,7,7,7,10
"1465","lcl|c208130_g1_i1|m.1735",6,5,6,3,5,4,2,3,4,4,5,3
"1466","lcl|c211022_g1_i7|m.2328",3,2,1,2,1,1,4,3,1,2,1,2
"1467","lcl|c212126_g1_i2|m.2626",4,4,2,2,4,4,4,4,5,5,4,6
"1468","lcl|c212912_g1_i1|m.2890",1,1,1,2,1,2,0,1,0,2,1,2
"1469","lcl|c212237_g2_i1|m.2659",8,7,5,6,9,7,5,9,7,7,7,4
"1470","lcl|c212297_g3_i4|m.2675",3,0,1,1,2,2,2,1,0,0,3,1
"1471","lcl|c212784_g2_i1|m.2837",4,4,5,4,5,6,3,7,4,4,7,6
"1472","lcl|c212839_g1_i3|m.2877",7,8,8,9,7,9,5,7,5,8,8,5
"1473","lcl|c213160_g2_i5|m.2982",4,6,5,6,7,9,4,2,3,6,5,6
"1474","lcl|c213311_g2_i3|m.3020",4,2,3,5,5,4,3,1,4,4,6,3
"1475","lcl|c213314_g8_i4|m.3021",9,6,4,6,3,8,9,10,8,8,5,6
"1476","lcl|c213354_g1_i4|m.3049",0,2,3,2,2,3,1,0,0,3,2,3
"1477","lcl|c213642_g1_i2|m.3160",0,2,2,1,4,3,0,0,0,2,1,2
"1478","lcl|c213652_g3_i1|m.3162",3,10,9,7,7,8,4,2,3,8,5,7
"1479","lcl|c222950_g5_i5|m.8734",7,9,11,10,7,7,5,4,4,8,8,9
"1480","lcl|c217788_g4_i2|m.5364",2,2,4,2,3,3,1,1,1,1,3,4
"1481","lcl|c213677_g1_i4|m.3168",7,6,5,4,5,7,4,7,3,3,4,5
"1482","lcl|c214032_g1_i4|m.3331",9,12,11,6,10,13,5,9,5,11,11,11
"1483","A0A1Q9C7P0",6,11,9,3,8,9,2,5,4,9,10,6
"1484","lcl|c214228_g4_i6|m.3409",3,3,3,3,4,4,4,3,3,4,4,2
"1485","lcl|c214242_g1_i2|m.3413",4,5,0,1,4,4,2,1,4,7,1,1
"1486","lcl|c214242_g1_i3|m.3415",2,3,0,1,2,3,3,1,1,5,1,1
"1487","lcl|c214356_g7_i5|m.3463",3,0,2,2,0,5,2,1,2,1,2,2
"1488","lcl|c214397_g6_i4|m.3476",8,10,10,11,10,11,7,8,10,9,9,12
"1489","lcl|c214559_g9_i1|m.3528",3,4,3,3,5,4,3,4,3,3,4,3
"1490","lcl|c214817_g2_i1|m.3680",2,1,1,1,1,2,1,1,1,2,0,1
"1491","lcl|c214832_g3_i2|m.3697",3,4,6,4,4,6,2,4,1,5,4,3
"1492","lcl|c214860_g1_i1|m.3700",1,2,1,1,1,1,2,1,1,1,1,1
"1493","lcl|c213117_g1_i3|m.2966",4,4,4,5,5,8,4,5,5,5,7,5
"1494","lcl|c215316_g1_i1|m.3942",2,1,3,5,1,4,3,7,2,4,7,5
"1495","lcl|c215434_g3_i1|m.4032",3,7,8,6,6,9,4,1,4,7,7,7
"1496","lcl|c215465_g1_i1|m.4044",9,3,6,5,4,7,6,7,6,8,8,6
"1497","lcl|c215492_g2_i9|m.4058",16,12,13,10,15,17,10,16,14,17,17,17
"1498","lcl|c215551_g6_i1|m.4083",2,3,0,1,1,1,1,3,2,2,3,2
"1499","lcl|c215632_g4_i4|m.4127",3,7,3,6,7,11,3,2,0,10,4,9
"1500","lcl|c215762_g1_i1|m.4180",0,1,1,2,5,4,1,1,1,2,2,4
"1501","lcl|c215763_g2_i3|m.4184",5,5,3,6,5,9,8,4,5,6,5,9
"1502","lcl|c215957_g2_i7|m.4321",2,0,3,2,2,3,2,3,2,2,1,2
"1503","lcl|c216129_g1_i2|m.4409",3,2,1,1,1,0,1,2,3,3,2,3
"1504","lcl|c213534_g3_i4|m.3118",5,2,5,2,3,4,4,5,4,5,4,2
"1505","lcl|c216289_g7_i1|m.4487",6,4,1,5,2,2,4,3,5,4,5,3
"1506","lcl|c216306_g1_i14|m.4518",1,3,2,2,3,3,1,1,2,1,1,2
"1507","lcl|c216377_g1_i3|m.4559",1,2,1,2,1,1,1,1,1,1,1,2
"1508","lcl|c216498_g3_i6|m.4613",0,1,2,2,2,3,1,2,1,1,2,3
"1509","lcl|c216705_g1_i4|m.4732",1,1,3,2,0,0,2,1,2,3,2,2
"1510","lcl|c216824_g6_i6|m.4797",0,1,1,1,1,2,0,1,0,2,0,1
"1511","lcl|c216953_g1_i3|m.4865",0,0,2,0,1,2,0,1,0,0,3,3
"1512","lcl|c217098_g2_i2|m.4966",3,1,1,1,1,0,0,0,0,0,0,1
"1513","lcl|c217182_g4_i3|m.5021",3,4,3,4,2,3,2,2,2,3,3,2
"1514","lcl|c217182_g4_i2|m.5020",2,4,2,3,2,3,2,2,1,3,2,2
"1515","lcl|c213865_g3_i2|m.3249",0,0,0,0,0,3,0,0,0,0,0,2
"1516","lcl|c217381_g1_i2|m.5165",1,2,2,4,3,3,0,0,1,2,1,2
"1517","lcl|c217427_g4_i1|m.5185",3,3,1,3,3,3,3,7,3,3,4,4
"1518","lcl|c217466_g1_i3|m.5215",9,6,2,3,3,4,2,7,8,9,6,9
"1519","lcl|c217499_g2_i1|m.5223",4,6,6,4,5,2,7,8,7,7,7,5
"1520","lcl|c217988_g6_i3|m.5463",4,5,3,5,6,8,5,5,3,8,4,10
"1521","lcl|c218147_g4_i2|m.5583",0,1,0,1,1,2,0,0,0,0,0,1
"1522","lcl|c218175_g4_i6|m.5595",3,1,1,1,2,1,3,2,1,1,2,1
"1523","lcl|c218175_g5_i2|m.5596",0,0,2,1,0,0,0,0,0,0,1,0
"1524","lcl|c218176_g7_i3|m.5597",11,10,2,1,1,1,7,9,10,9,13,10
"1525","WP_051881039.1",0,1,1,0,0,0,0,0,2,0,0,0
"1526","lcl|c218196_g3_i9|m.5616",4,0,1,0,2,3,2,3,3,2,3,3
"1527","lcl|c218201_g1_i4|m.5622",5,8,9,6,6,6,8,9,8,7,7,5
"1528","lcl|c218298_g7_i1|m.5703",1,3,1,1,2,1,1,1,2,2,2,2
"1529","lcl|c218374_g1_i3|m.5753",7,6,3,6,5,6,8,8,8,9,3,6
"1530","lcl|c218481_g4_i6|m.5811",3,1,1,3,2,3,4,3,5,3,2,4
"1531","lcl|c218580_g2_i1|m.5839",6,4,2,2,2,5,3,4,2,3,5,3
"1532","lcl|c218647_g3_i1|m.5884",2,1,0,0,2,1,1,4,0,2,3,2
"1533","lcl|c218881_g3_i2|m.6022",2,3,4,4,4,5,6,5,4,7,5,3
"1534","lcl|c218903_g1_i1|m.6054",2,1,1,5,5,6,1,1,2,2,3,3
"1535","lcl|c218972_g2_i1|m.6108",2,1,1,2,1,1,1,1,1,1,1,2
"1536","lcl|c214028_g2_i1|m.3329",0,1,2,1,2,4,1,2,1,2,1,2
"1537","lcl|c219237_g2_i4|m.6297",5,3,3,3,7,6,3,4,4,5,2,3
"1538","lcl|c219409_g4_i2|m.6366",0,0,0,0,0,1,0,1,0,0,1,2
"1539","lcl|c219583_g2_i1|m.6468",4,3,5,4,6,5,3,3,4,6,4,4
"1540","lcl|c219602_g1_i6|m.6476",6,5,5,5,3,3,7,5,7,4,5,4
"1541","lcl|c219710_g2_i1|m.6538",1,5,4,2,6,6,5,3,3,7,8,4
"1542","lcl|c230360_g10_i5|m.15205",2,2,4,4,3,4,4,5,3,2,5,5
"1543","lcl|c233215_g1_i5|m.18281",1,1,2,1,0,1,2,2,0,1,2,2
"1544","lcl|c219883_g1_i2|m.6624",10,9,8,9,8,9,10,7,9,11,9,8
"1545","lcl|c220106_g1_i3|m.6753",2,3,0,4,2,4,0,3,3,3,2,4
"1546","lcl|c220236_g4_i1|m.6833",2,4,4,3,2,2,2,2,5,4,3,2
"1547","lcl|c220306_g1_i5|m.6860",4,5,4,3,6,5,4,3,3,6,6,6
"1548","lcl|c220409_g3_i3|m.6926",0,2,1,1,1,1,0,2,1,1,1,0
