Protein,10B_23 Protein Abundance,10NB_13 Protein Abundance,13B_07 Protein Abundance,13NB_22 Protein Abundance,21B_17 Protein Abundance,21NB_09 Protein Abundance,26B_21 Protein Abundance,26NB_15 Protein Abundance,66B_14 Protein Abundance,66NB_16 Protein Abundance,74B_08 Protein Abundance,74NB_20 Protein Abundance
lcl|c222186_g2_i2|m.8151,1.9043E+6,1.5555E+6,1.2578E+6,1.4399E+6,1.2959E+6,1.5332E+6,1.1406E+6,2.1173E+6,1.3562E+6,1.9831E+6,1.9686E+6,1.8953E+6
lcl|c222197_g1_i5|m.8163,2.2506E+6,2.9921E+6,2.7229E+6,3.1415E+6,3.7969E+6,4.3257E+6,1.6271E+6,3.3355E+6,1.5507E+6,3.6575E+6,3.6197E+6,4.1272E+6
lcl|c222276_g1_i3|m.8231,1.4384E+6,9.2332E+5,1.4468E+6,1.9496E+6,1.7213E+6,1.5438E+6,3.6044E+6,2.5901E+6,1.6665E+6,2.7600E+6,1.5510E+6,2.1047E+6
lcl|c222306_g8_i4|m.8236,4.0326E+6,4.4137E+6,2.5133E+6,1.6507E+6,2.3672E+6,3.9691E+6,3.3874E+6,4.6240E+6,4.0153E+6,8.6213E+6,4.1415E+6,3.4175E+6
lcl|c222306_g9_i1|m.8237,3.3783E+6,1.3305E+6,9.8896E+5,1.7060E+6,1.4679E+6,1.9440E+6,1.5620E+6,3.0001E+6,1.3079E+6,2.5390E+6,3.0142E+6,3.3080E+6
lcl|c222398_g1_i4|m.8303,9.2453E+4,9.1594E+5,8.8695E+5,8.3895E+5,7.0422E+5,1.4623E+6,5.7906E+4,5.8267E+4,8.4494E+4,4.3765E+5,5.8440E+5,1.2552E+6
lcl|c222399_g1_i2|m.8304,3.1010E+6,1.2571E+6,1.2684E+6,2.5777E+6,2.1718E+6,2.4656E+6,1.7598E+6,2.2954E+6,1.3067E+6,1.7681E+6,2.3284E+6,4.3079E+6
lcl|c222419_g1_i2|m.8314,2.9398E+6,2.5384E+6,1.9833E+6,2.9417E+6,1.9224E+6,2.2857E+6,1.6677E+6,3.0409E+6,1.6197E+6,4.2472E+6,3.6279E+6,4.6047E+6
lcl|c222436_g10_i1|m.8337,2.1283E+6,2.5853E+6,2.6339E+6,2.9618E+6,2.3987E+6,3.2262E+6,1.6787E+6,2.7868E+6,1.7493E+6,4.8343E+6,3.5140E+6,4.5269E+6
lcl|c222437_g1_i1|m.8351,1.0737E+6,1.0179E+6,3.2591E+5,6.0190E+5,1.1546E+6,2.0901E+6,9.4943E+5,1.3377E+6,1.7019E+6,3.3328E+6,1.5016E+6,1.2974E+6
lcl|c222451_g1_i1|m.8369,7.9630E+6,8.9353E+6,6.5201E+6,7.4213E+6,6.9430E+6,9.5295E+6,5.4206E+6,9.5863E+6,6.2914E+6,1.1397E+7,1.0073E+7,1.0678E+7
lcl|c222459_g5_i1|m.8379,3.2982E+6,4.5443E+6,3.3973E+6,4.9533E+6,5.9049E+6,5.9988E+6,2.4370E+6,3.1404E+6,2.8876E+6,7.2152E+6,5.2351E+6,9.5503E+6
lcl|c222484_g2_i1|m.8393,2.3134E+6,2.3096E+6,1.9187E+6,1.7403E+6,1.6061E+6,2.3956E+6,1.5462E+6,3.2674E+6,1.6887E+6,3.6611E+6,2.6055E+6,2.1312E+6
lcl|c222526_g1_i2|m.8408,4.6286E+5,5.1470E+5,5.1548E+5,8.2884E+5,8.2578E+5,8.8674E+5,2.3973E+5,4.9665E+5,3.1744E+5,1.0134E+6,5.9428E+5,1.0642E+6
lcl|c222548_g1_i3|m.8426,1.3820E+6,2.2964E+6,2.1190E+6,2.5340E+6,2.4773E+6,2.8832E+6,1.0486E+6,1.9048E+6,1.0578E+6,2.5767E+6,2.6645E+6,3.5281E+6
lcl|c222555_g2_i4|m.8428,1.9821E+6,1.1431E+6,1.4411E+6,1.5419E+6,1.4044E+6,1.7461E+6,1.2134E+6,1.2142E+6,1.5008E+6,2.5124E+6,2.3501E+6,2.1909E+6
lcl|c222558_g2_i4|m.8433,1.6010E+6,1.0981E+6,9.3910E+5,8.3381E+5,1.4802E+6,1.6755E+6,1.1511E+6,8.6654E+5,1.1342E+6,1.7327E+6,1.3174E+6,1.5420E+6
lcl|c222581_g2_i12|m.8452,3.8122E+6,4.1326E+6,2.9661E+6,4.0352E+6,2.6499E+6,4.2772E+6,2.0159E+6,5.2349E+6,2.9989E+6,5.2530E+6,3.6881E+6,4.1896E+6
lcl|c222585_g8_i4|m.8453,1.3155E+6,1.8163E+6,1.9160E+6,2.4865E+6,2.0374E+6,2.3512E+6,7.9666E+5,1.5245E+6,5.4811E+5,2.4344E+6,1.3979E+6,2.2019E+6
lcl|c222639_g5_i2|m.8480,4.6324E+7,1.2865E+8,1.3783E+8,1.2954E+8,1.6393E+8,2.1326E+8,3.1707E+7,5.8240E+7,4.7681E+7,2.1798E+8,1.2305E+8,1.8540E+8
lcl|c222653_g7_i1|m.8496,2.0539E+6,2.2919E+6,1.3897E+6,1.6509E+6,1.3506E+6,1.9000E+6,9.5144E+5,1.9288E+6,1.4074E+6,2.9260E+6,2.1082E+6,2.4958E+6
lcl|c222682_g3_i1|m.8524,9.0107E+6,1.0446E+7,7.4399E+6,1.0362E+7,8.1001E+6,1.0715E+7,6.5297E+6,1.4057E+7,7.7130E+6,1.5471E+7,1.1140E+7,1.4378E+7
lcl|c222682_g3_i7|m.8525,3.8499E+6,4.3006E+6,3.3796E+6,3.2984E+6,4.5074E+6,5.6187E+6,2.1344E+6,5.1160E+6,2.7425E+6,6.1109E+6,5.2207E+6,6.6238E+6
lcl|c222727_g3_i2|m.8582,4.4941E+6,2.7832E+6,1.7701E+6,2.3785E+6,1.9799E+6,3.0454E+6,2.6735E+6,4.6729E+6,1.9956E+6,4.3536E+6,4.8870E+6,7.0290E+6
lcl|c222899_g2_i2|m.8689,1.1138E+6,1.3763E+6,1.5521E+6,1.7163E+6,1.5667E+6,1.2951E+6,1.9130E+6,2.6817E+6,1.9243E+6,2.7831E+6,3.6391E+6,3.9031E+6
lcl|c222929_g2_i3|m.8717,1.8218E+7,2.1661E+7,1.2319E+7,1.4901E+7,1.3592E+7,1.8123E+7,8.8908E+6,1.7037E+7,1.7809E+7,3.0211E+7,2.2913E+7,2.5702E+7
lcl|c222937_g2_i3|m.8724,2.1391E+6,1.1994E+6,1.1693E+6,1.4561E+6,1.0070E+6,1.3624E+6,1.4921E+6,1.5450E+6,1.5925E+6,2.1962E+6,2.0545E+6,2.2674E+6
lcl|c222950_g5_i5|m.8734,3.5761E+6,7.1690E+6,4.9009E+6,7.4769E+6,7.1678E+6,8.5118E+6,1.9279E+6,3.8109E+6,2.9306E+6,9.5789E+6,5.7937E+6,1.0515E+7
lcl|c222950_g5_i7|m.8739,5.5230E+6,1.2532E+7,1.1359E+7,1.3108E+7,1.4598E+7,1.6317E+7,2.9231E+6,3.4672E+6,3.7248E+6,1.3068E+7,9.5577E+6,1.3131E+7
lcl|c222957_g1_i2|m.8747,7.2179E+6,7.4619E+6,7.6224E+6,6.5718E+6,6.2653E+6,7.5669E+6,6.4171E+6,9.0733E+6,6.0864E+6,1.1036E+7,7.4241E+6,7.1099E+6
lcl|c222960_g2_i1|m.8750,3.0760E+6,2.8804E+6,2.2259E+6,2.9775E+6,2.1445E+6,2.9132E+6,1.9450E+6,4.0037E+6,2.3686E+6,4.1278E+6,3.7475E+6,4.1557E+6
lcl|c223053_g2_i3|m.8836,2.2611E+6,2.5562E+6,1.7191E+6,2.1266E+6,2.4248E+6,3.0874E+6,1.3629E+6,2.8679E+6,1.3106E+6,2.9810E+6,3.3591E+6,3.3342E+6
