Protein,LogFoldChange,Zstatistic,Name,Function
lcl|c214242_g1_i2|m.3413,0.62,3.3293,NA,NA
lcl|c214356_g7_i5|m.3463,-1.517,-4.8009,NA,NA
lcl|c214397_g6_i4|m.3476,-1.316,-10.3862,NA,NA
lcl|c214559_g9_i1|m.3528,-1.059,-5.0451,NA,NA
lcl|c214573_g3_i1|m.3534,-0.862,-4.265,NA,NA
lcl|c214602_g8_i1|m.3549,-0.77,-3.1678,NA,NA
lcl|c214691_g1_i1|m.3614,-1.046,-3.0569,NA,NA
lcl|c214817_g2_i1|m.3680,-1.446,-3.7441,NA,NA
lcl|c214832_g3_i2|m.3697,0.645,4.2725,NA,NA
lcl|c214971_g5_i1|m.3758,-1.852,-5.2404,NA,NA
lcl|c214971_g6_i7|m.3760,-1.648,-5.5865,NA,NA
lcl|c215093_g1_i2|m.3818,-1.014,-5.7882,NA,NA
lcl|c215397_g1_i1|m.4004,-1.083,-2.8075,NA,NA
lcl|c215423_g1_i1|m.4014,-3.011,-9.613,NA,NA
lcl|c215434_g3_i1|m.4032,-2.92,-9.6885,NA,NA
lcl|c215465_g1_i1|m.4044,0.63,5.8066,NA,NA
lcl|c215551_g6_i1|m.4083,-0.908,-3.0593,NA,NA
lcl|c215553_g1_i10|m.4084,-0.734,-2.0588,NA,NA
lcl|c215676_g2_i1|m.4150,-1.312,-4.2298,NA,NA
lcl|c215741_g2_i3|m.4173,-1.464,-3.5524,NA,NA
lcl|c215763_g2_i3|m.4184,-1.741,-8.5189,NA,NA
lcl|c215819_g3_i2|m.4218,-1.109,-3.4665,NA,NA
lcl|c215953_g5_i6|m.4317,-1.552,-5.1098,NA,NA
lcl|c215957_g2_i7|m.4321,0.752,3.4724,NA,NA
lcl|c216194_g2_i1|m.4425,-1.182,-6.1844,NA,NA
lcl|c216201_g2_i1|m.4428,-1.561,-4.6213,NA,NA
lcl|c216306_g1_i14|m.4518,-1.834,-4.9685,NA,NA
lcl|c216308_g10_i1|m.4522,-1.223,-3.1274,NA,NA
lcl|c216308_g5_i4|m.4526,-2.389,-7.4621,NA,NA
lcl|c216448_g1_i1|m.4592,-1.098,-4.9838,NA,NA
lcl|c216467_g8_i2|m.4597,-0.845,-2.5466,NA,NA
lcl|c216567_g2_i2|m.4643,-1.329,-4.7354,NA,NA
lcl|c216598_g2_i1|m.4667,-1.512,-3.9669,NA,NA
lcl|c216621_g3_i1|m.4676,1.365,8.8747,NA,NA
lcl|c216702_g5_i1|m.4730,-1.333,-5.6803,NA,NA
lcl|c216705_g1_i4|m.4732,-1.831,-4.9699,NA,NA
lcl|c216848_g3_i4|m.4809,-1.02,-7.3174,NA,NA
lcl|c216953_g1_i3|m.4865,-1.495,-4.1358,NA,NA
lcl|c217046_g2_i2|m.4921,-0.679,-2.4793,NA,NA
lcl|c217098_g2_i2|m.4966,-0.702,-2.0082,NA,NA
lcl|c217182_g4_i2|m.5020,-1.653,-5.377,NA,NA
lcl|c217182_g4_i3|m.5021,-1.63,-5.8617,NA,NA
lcl|c217427_g4_i1|m.5185,-1.534,-6.5335,NA,NA
lcl|c217466_g1_i3|m.5215,1.57,10.5495,NA,NA
lcl|c217576_g1_i1|m.5259,-2.36,-7.2652,NA,NA
lcl|c217654_g5_i4|m.5303,-0.577,-3.9553,NA,NA
lcl|c217792_g3_i1|m.5367,-1.015,-2.7017,NA,NA
lcl|c217834_g1_i3|m.5399,-0.758,-2.436,NA,NA
lcl|c217988_g6_i3|m.5463,-0.734,-4.8699,NA,NA
lcl|c218043_g2_i3|m.5510,-1.241,-3.2283,NA,NA
lcl|c218053_g2_i1|m.5517,-1.407,-3.4878,NA,NA
lcl|c218119_g1_i3|m.5570,-0.96,-4.5108,NA,NA
lcl|c218175_g5_i2|m.5596,-0.762,-2.2114,NA,NA
lcl|c218196_g3_i9|m.5616,-1.471,-5.3211,NA,NA
lcl|c218197_g1_i1|m.5617,-2.848,-9.3396,NA,NA
lcl|c218222_g6_i2|m.5640,-1.305,-3.2578,NA,NA
lcl|c218298_g7_i1|m.5703,-1.707,-4.497,NA,NA
lcl|c218374_g1_i3|m.5753,-2.656,-10.1562,NA,NA
lcl|c218374_g4_i1|m.5754,0.534,2.7313,NA,NA
lcl|c218481_g4_i6|m.5811,-0.584,-2.8797,NA,NA
lcl|c218580_g2_i1|m.5839,-1.512,-6.8346,NA,NA
lcl|c218703_g1_i4|m.5907,-0.816,-3.9805,NA,NA
lcl|c218722_g1_i2|m.5914,-0.864,-3.3228,NA,NA
lcl|c218789_g1_i2|m.5965,-2.061,-6.3626,NA,NA
lcl|c218814_g3_i7|m.5970,-1.024,-2.9527,NA,NA
lcl|c218820_g4_i2|m.5974,-1.838,-5.4693,NA,NA
lcl|c218842_g3_i2|m.5986,-0.564,-3.8578,NA,NA
lcl|c218881_g3_i2|m.6022,-1.919,-7.7114,NA,NA
lcl|c218972_g2_i1|m.6108,-1.452,-3.5081,NA,NA
lcl|c219122_g1_i1|m.6195,-1.808,-5.3744,NA,NA
lcl|c219184_g1_i2|m.6256,-1.541,-5.2447,NA,NA
lcl|c219237_g2_i4|m.6297,-2.647,-7.9974,NA,NA
lcl|c219583_g2_i1|m.6468,-1.207,-6.6813,NA,NA
lcl|c219636_g2_i1|m.6494,-1.43,-6.2527,NA,NA
lcl|c219636_g2_i3|m.6495,-1.351,-5.8852,NA,NA
lcl|c219704_g3_i2|m.6534,-2.603,-8.5587,NA,NA
lcl|c219710_g2_i1|m.6538,-0.716,-4.3143,NA,NA
