Proteins,moduleColor,p.MM.turquoise,p.MM.blue,p.MM.grey
lcl|c224432_g1_i4|m.9787,blue,0.033236433,9.75E-06,0.477996598
lcl|c210735_g5_i3|m.2260,blue,0.0813205,8.73E-07,0.499106158
lcl|c210226_g1_i1|m.2139,blue,0.135374324,4.49E-06,0.717766279
lcl|c225590_g2_i4|m.10752,blue,0.220593005,7.03E-07,0.868603864
lcl|c221593_g3_i1|m.7753,blue,0.190497562,6.71E-11,0.471379526
lcl|c239959_g1_i6|m.26571,blue,0.352522202,2.41E-06,0.607270368
lcl|c226344_g7_i1|m.11422,blue,0.108483801,5.61E-07,0.911715397
lcl|c222459_g5_i1|m.8379,blue,0.103108764,2.83E-08,0.673054106
lcl|c216038_g5_i1|m.4365,blue,0.068352448,2.05E-07,0.66807284
lcl|c230335_g4_i4|m.15179,blue,0.447122654,1.27E-05,0.336968191
lcl|c244439_g1_i1|m.32192,blue,0.132536883,1.67E-06,0.502908001
lcl|c230862_g3_i1|m.15714,blue,0.165116613,3.92E-08,0.627394336
lcl|c215316_g1_i1|m.3942,blue,0.094300452,0.000995751,0.464572891
lcl|c225618_g2_i6|m.10783,blue,0.357903496,3.51E-07,0.463552783
lcl|c234352_g2_i1|m.19757,blue,0.047910062,0.000581266,0.604152817
lcl|c220306_g1_i5|m.6860,blue,0.132210984,5.16E-08,0.715143822
lcl|c223484_g3_i4|m.9156,blue,0.23752937,1.55E-09,0.396425737
lcl|c231310_g2_i3|m.16119,blue,0.250310252,1.19E-08,0.451356254
lcl|c219901_g4_i1|m.6631,blue,0.080433434,0.000707508,0.647160505
lcl|c227361_g2_i9|m.12363,blue,0.231966022,1.53E-11,0.463819729
lcl|c220936_g1_i1|m.7247,blue,0.174318857,2.78E-09,0.494874038
lcl|c229939_g1_i1|m.14795,blue,0.545219871,0.000290203,0.399233969
lcl|c221482_g1_i3|m.7664,blue,0.557385438,1.24E-06,0.256086874
lcl|c233449_g1_i1|m.18576,blue,0.208582497,0.047082824,0.058968225
lcl|c217341_g1_i2|m.5116,blue,0.028200911,0.002191087,0.770488874
lcl|c219237_g2_i4|m.6297,blue,0.039860787,5.34E-05,0.771270367
tr|A0A1Q9F5D7|A0A1Q9F5D7_SYMMI,blue,0.128056449,4.27E-08,0.421391695
lcl|c228692_g3_i3|m.13558,blue,0.200458883,1.93E-06,0.996394472
RZO77719.1,blue,0.222161258,1.97E-08,0.51663585
lcl|c229422_g1_i2|m.14250,blue,0.176995315,2.04E-08,0.540013228
lcl|c223990_g2_i1|m.9532,blue,0.315139685,0.000615482,0.094522351
lcl|c241516_g1_i3|m.28672,blue,0.22039091,0.000110462,0.482790114
lcl|c242885_g1_i1|m.30332,blue,0.450916014,5.96E-08,0.437055049
lcl|c223611_g2_i1|m.9248,blue,0.446443565,3.96E-05,0.315064485
tr|A0A1Q9C7N1|A0A1Q9C7N1_SYMMI,blue,0.129891402,0.0003486,0.506465807
tr|Q2HX33|Q2HX33_9DINO,blue,0.117824034,3.07E-07,0.369786569
lcl|c210532_g1_i1|m.2196,blue,0.110731782,5.80E-07,0.595894876
lcl|c242139_g4_i2|m.29446,blue,0.151628927,0.002140101,0.125539717
lcl|c228190_g3_i6|m.13111,blue,0.150931544,1.68E-07,0.352859407
lcl|c211278_g7_i1|m.2402,blue,0.338170286,3.92E-08,0.561308235
lcl|c216856_g6_i1|m.4812,blue,0.408517736,1.14E-08,0.47308364
lcl|c215423_g1_i1|m.4014,blue,0.377582997,6.17E-09,0.475093065
lcl|c219131_g1_i2|m.6201,blue,0.535995917,2.24E-07,0.497401812
lcl|c238677_g1_i1|m.24810,blue,0.418435974,3.47E-05,0.458110844
lcl|c232607_g4_i4|m.17601,blue,0.381193829,1.46E-05,0.089813011
tr|Q2HX31|Q2HX31_9DINO,blue,0.008710493,0.001830278,0.753828879
lcl|c214602_g8_i1|m.3549,blue,0.325393517,7.27E-08,0.606915488
lcl|c221884_g1_i3|m.7955,blue,0.310188878,1.19E-09,0.422101397
lcl|c219546_g2_i1|m.6439,blue,0.025868071,5.01E-05,0.898117209
lcl|c235743_g4_i1|m.21296,blue,0.185432794,3.89E-07,0.43437311
lcl|c233215_g1_i5|m.18281,blue,0.28595493,8.20E-07,0.194242457
lcl|c227206_g2_i2|m.12244,blue,0.168921345,3.16E-08,0.601226154
lcl|c234877_g1_i1|m.20373,blue,0.20628058,1.91E-06,0.707480164
lcl|c217788_g4_i2|m.5364,blue,0.358328676,0.000329224,0.906741639
lcl|c234789_g3_i1|m.20259,blue,0.224944862,1.27E-05,0.126199626
lcl|c225593_g2_i3|m.10758,blue,0.453915092,0.000218392,0.728346972
lcl|c226739_g4_i2|m.11743,blue,0.475587641,2.33E-07,0.485792823
lcl|c211850_g3_i1|m.2552,blue,0.503335846,3.66E-08,0.458694929
lcl|c244372_g1_i1|m.32092,blue,0.154561645,6.87E-07,0.682317443
lcl|c225538_g6_i2|m.10715,blue,0.412589731,0.000549825,0.33335448
lcl|c226445_g4_i2|m.11481,blue,0.319088778,1.95E-08,0.250123057
lcl|c227188_g1_i3|m.12224,blue,0.046198622,0.000694892,0.774021388
lcl|c232986_g1_i4|m.17993,blue,0.422964323,4.03E-08,0.516431589
WP_200280228.1,blue,0.016440132,0.00408005,0.213483154
lcl|c218655_g2_i5|m.5887,blue,0.521118358,0.004468032,0.095456107
lcl|c212912_g1_i1|m.2890,blue,0.182388428,1.45E-09,0.636139719
lcl|c229583_g3_i7|m.14431,blue,0.510387024,3.06E-07,0.643195181
lcl|c229582_g1_i2|m.14429,blue,0.323495488,1.61E-06,0.163879677
lcl|c225323_g2_i2|m.10522,blue,0.114800306,1.51E-05,0.887742886
lcl|c179980_g2_i2|m.640,blue,0.423756514,3.99E-08,0.46246625
lcl|c229494_g4_i7|m.14309,blue,0.477980247,8.97E-07,0.203208184
lcl|c223865_g4_i1|m.9444,blue,0.419285172,1.35E-06,0.289304079
lcl|c240857_g5_i1|m.27819,blue,0.276018022,5.16E-11,0.453660313
lcl|c243349_g1_i4|m.30872,blue,0.265134069,2.32E-10,0.696628366
lcl|c239229_g3_i1|m.25467,blue,0.065528722,0.01271677,0.56221815
lcl|c233818_g2_i6|m.19032,blue,0.032075315,2.01E-05,0.82297934
lcl|c229705_g1_i1|m.14556,blue,0.464816909,2.20E-08,0.495092172
lcl|c99487_g1_i1|m.32745,blue,0.439353734,8.54E-08,0.462792726
lcl|c218222_g6_i2|m.5640,blue,0.065674981,3.75E-05,0.188010153
lcl|c242303_g4_i4|m.29632,blue,0.449383049,1.73E-07,0.392902737
lcl|c238591_g4_i10|m.24704,blue,0.049791934,0.001573759,0.635354324
lcl|c236360_g3_i2|m.22033,blue,0.3110049,2.29E-06,0.471949163
lcl|c221971_g2_i2|m.8018,blue,0.204400057,1.27E-05,0.31781722
lcl|c239682_g2_i1|m.26160,blue,0.226383099,0.003025349,0.763711659
lcl|c225829_g1_i1|m.10978,blue,0.476346786,2.07E-07,0.465695373
lcl|c202472_g1_i1|m.1259,blue,0.44707776,2.77E-08,0.412256558
lcl|c160676_g1_i1|m.404,blue,0.341333996,3.82E-10,0.449577984
lcl|c229826_g4_i5|m.14661,blue,0.492881963,3.92E-08,0.472462622
lcl|c234075_g1_i1|m.19400,blue,0.419708309,0.02917739,0.506707491
lcl|c216953_g1_i3|m.4865,blue,0.282555874,2.62E-08,0.383657647
lcl|c231030_g9_i1|m.15904,blue,0.010680086,0.001595244,0.822696285
lcl|c231988_g7_i3|m.16894,blue,0.67118844,1.34E-05,0.530929282
lcl|c221967_g2_i3|m.8016,blue,0.623174431,4.97E-05,0.31448332
lcl|c218053_g2_i1|m.5517,blue,0.172917427,5.67E-06,0.905687684
