Proteins,moduleColor,p.MM.turquoise,p.MM.blue,p.MM.grey
lcl|c167034_g1_i1|m.471,grey,0.224377747,0.178566846,0.882166949
tr|G9I8R3|G9I8R3_SYMMI,grey,0.515056529,0.235816015,0.000217897
lcl|c232046_g3_i2|m.16949,grey,0.024933809,0.60216947,0.876787411
lcl|c240828_g2_i2|m.27775,grey,0.18703484,0.54307118,0.469256803
lcl|c241252_g2_i3|m.28365,grey,0.193819659,0.136819792,0.53252713
lcl|c200741_g1_i1|m.1151,grey,0.367294988,0.471175002,0.047531504
lcl|c238994_g2_i1|m.25162,grey,0.216435877,0.707468529,0.179176986
lcl|c228838_g1_i2|m.13701,grey,0.021754265,0.045183569,0.220618812
lcl|c232769_g4_i2|m.17751,grey,0.481289761,0.537296088,0.749178458
sp|Q41406|RBL2_SYMSP,grey,0.600811147,0.594061659,0.001746628
lcl|c237578_g2_i2|m.23441,grey,0.722370828,0.166642976,3.15E-05
lcl|c239816_g8_i3|m.26354,grey,0.310800236,0.157849277,0.016824887
sp|P51874|PCP_SYMSP,grey,0.145402376,0.497080039,0.001422768
lcl|c232520_g2_i3|m.17452,grey,0.070333457,0.611334344,0.479125134
lcl|c219817_g1_i3|m.6593,grey,0.609149829,0.607891503,0.82064614
tr|A0A0K0VKB7|A0A0K0VKB7_SYMMI,grey,0.854816205,0.413894808,8.62E-06
WP_010385636.1,grey,0.62243745,0.190308379,0.753821473
lcl|c222558_g2_i4|m.8433,grey,0.060078593,0.121693722,0.389883775
lcl|c241357_g3_i6|m.28476,grey,0.758874894,0.100714893,0.745671404
lcl|c231891_g1_i1|m.16759,grey,0.066566542,0.332745003,0.024869004
lcl|c217576_g1_i1|m.5259,grey,0.525953379,0.293070466,0.7418008
lcl|c218043_g6_i11|m.5511,grey,0.06752045,0.995633906,0.518315559
lcl|c233142_g2_i1|m.18198,grey,0.070086395,0.165559233,0.088089846
lcl|c218201_g1_i2|m.5620,grey,0.819997251,0.622087977,0.097397451
tr|E0WED1|E0WED1_9DINO,grey,0.10166815,0.285370466,0.019967097
lcl|c237560_g2_i1|m.23397,grey,0.139433178,0.584437128,0.407115652
tr|E0WED5|E0WED5_9DINO,grey,0.300562853,0.982907413,0.001276394
lcl|c228016_g1_i1|m.12966,grey,0.596978043,0.198249367,0.394334197
lcl|c229646_g1_i2|m.14480,grey,0.36053127,0.324622577,0.04938159
lcl|c221925_g1_i3|m.7988,grey,0.138684419,0.206037124,0.811540182
lcl|c242793_g1_i1|m.30227,grey,0.283465607,0.104015906,0.947575551
lcl|c227758_g2_i3|m.12735,grey,0.287013053,0.536242623,0.821289504
lcl|c236655_g1_i2|m.22362,grey,0.287927572,0.587801393,0.088431422
lcl|c223808_g2_i1|m.9405,grey,0.310592988,0.729753245,0.962867863
lcl|c226189_g2_i2|m.11277,grey,0.117831923,0.948904646,0.70760626
lcl|c234546_g4_i6|m.19966,grey,0.400243493,0.132852435,0.517478968
tr|A0A1Q9CJK1|A0A1Q9CJK1_SYMMI,grey,0.643250769,0.365549167,1.84E-05
lcl|c215957_g2_i7|m.4321,grey,0.279167842,0.862743292,0.043844727
lcl|c217737_g4_i4|m.5348,grey,0.413053129,0.750888879,0.103634057
lcl|c225009_g5_i8|m.10303,grey,0.42094838,0.145566468,0.140330774
lcl|c234643_g1_i2|m.20073,grey,0.014626894,0.745387904,0.032713445
lcl|c216448_g1_i1|m.4592,grey,0.264986363,0.961645328,0.156277942
lcl|c214971_g6_i7|m.3760,grey,0.567830841,0.111771614,0.02667825
lcl|c239883_g8_i2|m.26469,grey,0.169800018,0.102181317,0.130405901
lcl|c234421_g4_i7|m.19822,grey,0.481749145,0.672451735,0.536537917
lcl|c228868_g10_i1|m.13735,grey,0.863901432,0.515317391,0.344046643
lcl|c239816_g8_i1|m.26351,grey,0.621335393,0.112550306,0.035644275
lcl|c237550_g1_i1|m.23390,grey,0.415559334,0.210317664,0.744816547
lcl|c222276_g1_i3|m.8231,grey,0.240367189,0.359269925,0.823111625
lcl|c218197_g1_i1|m.5617,grey,0.840446458,0.810580659,0.49850667
tr|A0A1Q9DHE0|A0A1Q9DHE0_SYMMI,grey,0.939829431,0.965702783,0.001403663
lcl|c234643_g1_i7|m.20081,grey,0.974152969,0.593922508,0.168234895
lcl|c233849_g5_i1|m.19072,grey,0.303981093,0.963672871,0.83904396
tr|E0WED8|E0WED8_9DINO,grey,0.590400835,0.519229975,0.000108129
lcl|c225593_g2_i3|m.10759,grey,0.458548701,0.118833671,0.378414243
lcl|c235757_g3_i5|m.21305,grey,0.239776876,0.646612683,0.530988499
tr|A0A060BQ26|A0A060BQ26_9DINO,grey,0.418307629,0.166350998,0.05806288
lcl|c241220_g4_i2|m.28322,grey,0.687496675,0.884822926,0.001033836
lcl|c234277_g5_i1|m.19677,grey,0.786365637,0.610741534,0.139305091
lcl|c236210_g3_i1|m.21846,grey,0.851921718,0.21399792,0.269990323
lcl|c224456_g4_i3|m.9819,grey,0.65941637,0.513729769,2.68E-05
lcl|c224698_g7_i8|m.10072,grey,0.89398177,0.55086985,0.203449237
lcl|c236037_g2_i3|m.21607,grey,0.065129902,0.705714225,0.423904518
lcl|c225789_g4_i1|m.10946,grey,0.293881316,0.192705523,0.015381378
lcl|c233103_g2_i1|m.18143,grey,0.59439478,0.612697219,0.600471613
lcl|c240106_g2_i2|m.26779,grey,0.783522357,0.507615891,0.070710199
tr|Q5DWT1|Q5DWT1_9DINO,grey,0.621059738,0.396416138,3.53E-05
lcl|c237814_g2_i1|m.23784,grey,0.461384938,0.91949934,0.871420118
lcl|c241031_g1_i1|m.28098,grey,0.253457615,0.358159099,0.462696793
lcl|c234226_g1_i1|m.19634,grey,0.92114635,0.181253628,0.182853391
lcl|c8051_g1_i1|m.32674,grey,0.164866525,0.705119546,0.710082981
lcl|c223716_g4_i1|m.9328,grey,0.298197342,0.455468787,0.184393072
lcl|c225756_g1_i2|m.10914,grey,0.095171399,0.512333162,0.053285881
lcl|c222208_g5_i7|m.8170,grey,0.448890905,0.053875505,0.365331269
lcl|c225859_g2_i1|m.10996,grey,0.268027214,0.498127216,0.304383998
tr|E0WEC7|E0WEC7_9DINO,grey,0.484525012,0.263565943,0.001087794
lcl|c237814_g2_i2|m.23785,grey,0.268033847,0.272781604,0.956909882
lcl|c230171_g1_i1|m.15015,grey,0.221877511,0.779400229,0.361321119
lcl|c216467_g8_i1|m.4596,grey,0.695740225,0.829033652,0.166969095
tr|A0A1Q9DYI9|A0A1Q9DYI9_SYMMI,grey,0.094918723,0.858074226,0.003281723
lcl|c241022_g4_i5|m.28088,grey,0.809225505,0.388842359,0.149802692
lcl|c234643_g1_i6|m.20078,grey,0.716805704,0.803478247,0.112935924
lcl|c216467_g10_i1|m.4595,grey,0.78229873,0.596328442,0.150596622
lcl|c233287_g2_i1|m.18368,grey,0.178496503,0.774572644,0.536622312
lcl|c240793_g1_i1|m.27747,grey,0.906346546,0.127878014,0.380221083
tr|A0A1Q9CZF9|A0A1Q9CZF9_SYMMI,grey,0.38617899,0.662706122,7.07E-05
lcl|c225632_g3_i1|m.10790,grey,0.683861034,0.46457702,0.474957252
lcl|c222437_g1_i1|m.8351,grey,0.361103282,0.517125123,0.007062964
lcl|c236250_g3_i2|m.21888,grey,0.710199427,0.08358169,0.159315054
lcl|c237405_g1_i2|m.23236,grey,0.273483255,0.363628233,0.977889701
lcl|c211914_g5_i4|m.2567,grey,0.687612369,0.306013825,0.792369868
lcl|c221753_g3_i7|m.7844,grey,0.09306004,0.585502827,0.165205732
lcl|c229021_g1_i1|m.13887,grey,0.541311541,0.321705517,0.660464184
lcl|c230953_g1_i2|m.15824,grey,0.633957799,0.518014129,0.381774451
lcl|c209570_g1_i3|m.2003,grey,0.386851084,0.843300104,0.453688862
lcl|c227571_g1_i1|m.12592,grey,0.274417326,0.32828322,0.132987939
lcl|c216308_g10_i1|m.4522,grey,0.5686268,0.64970656,0.233289623
lcl|c240930_g1_i2|m.27958,grey,0.282908977,0.62447351,0.005827079
lcl|c235820_g1_i1|m.21351,grey,0.958097361,0.668367363,0.985192192
tr|G9I8I0|G9I8I0_9DINO,grey,0.065590546,0.949163501,0.006629579
lcl|c234140_g5_i2|m.19531,grey,0.481815338,0.356063293,0.219343737
lcl|c244342_g1_i1|m.32068,grey,0.174174741,0.927493987,0.984667757
lcl|c214028_g2_i1|m.3329,grey,0.493247311,0.158080372,0.417249672
lcl|c228309_g1_i2|m.13219,grey,0.94251653,0.37094498,0.0086022
lcl|c217573_g1_i1|m.5252,grey,0.361259836,0.942100185,0.765494286
lcl|c210398_g1_i3|m.2174,grey,0.454003534,0.097266108,0.667918761
lcl|c239670_g2_i1|m.26141,grey,0.862849776,0.324371869,0.49444463
lcl|c233922_g1_i2|m.19174,grey,0.288936354,0.242441627,0.170427894
lcl|c243059_g4_i2|m.30566,grey,0.737004493,0.549086314,0.140070212
lcl|c237613_g1_i3|m.23496,grey,0.753010482,0.498512028,0.086604316
tr|A0A1Q9CVH2|A0A1Q9CVH2_SYMMI,grey,0.08337383,0.67768839,0.008178281
lcl|c209191_g2_i1|m.1916,grey,0.44246509,0.15455737,0.418051933
lcl|c228207_g1_i1|m.13128,grey,0.30453627,0.758323991,0.563062528
lcl|c232739_g3_i2|m.17726,grey,0.997679407,0.689594597,0.41603386
lcl|c225222_g1_i4|m.10453,grey,0.094876342,0.656376651,0.007945457
tr|A0A1Q9C7X7|A0A1Q9C7X7_SYMMI,grey,0.196075275,0.320900838,0.110802626
lcl|c218201_g1_i4|m.5622,grey,0.812002949,0.681740062,0.958763262
WP_066688199.1,grey,0.757004952,0.178167919,0.789332447
tr|A0A1Q9CVG7|A0A1Q9CVG7_SYMMI,grey,0.113228681,0.6049293,0.002214241
lcl|c169761_g1_i1|m.505,grey,0.718159199,0.719353061,0.008840717
lcl|c225136_g5_i9|m.10397,grey,0.488246705,0.486187124,0.5440331
lcl|c236542_g2_i1|m.22226,grey,0.379708751,0.652127562,0.046866073
tr|A0A1Q9C1P9|A0A1Q9C1P9_SYMMI,grey,0.993676922,0.784772885,0.068235039
lcl|c218968_g13_i2|m.6105,grey,0.605505857,0.417616145,0.423230021
lcl|c234643_g1_i12|m.20068,grey,0.066576145,0.963639721,0.011726799
lcl|c226715_g5_i2|m.11728,grey,0.234635906,0.521547856,0.102907562
lcl|c224457_g1_i1|m.9820,grey,0.402744042,0.411794134,0.450838975
lcl|c229781_g4_i1|m.14624,grey,0.219494674,0.502812927,0.00347396
lcl|c215676_g2_i1|m.4150,grey,0.409877434,0.93799157,0.648380115
lcl|c235690_g8_i1|m.21219,turquoise,0.00061176,0.009323515,0.717178612
lcl|c226009_g3_i5|m.11131,turquoise,0.017682477,0.249401391,0.098255388
lcl|c188047_g2_i2|m.760,turquoise,0.000336307,0.007600963,0.382345115
lcl|c234851_g1_i2|m.20336,turquoise,0.007505789,0.008941753,0.823852764
lcl|c232843_g1_i4|m.17830,turquoise,0.003915504,0.002791734,0.77637607
lcl|c215741_g2_i3|m.4173,turquoise,0.008491211,0.02410968,0.842311397
lcl|c226971_g4_i1|m.11975,turquoise,0.001597008,0.078564537,0.086899924
lcl|c222581_g2_i12|m.8452,turquoise,1.37E-06,0.084738352,0.782551936
lcl|c241874_g1_i1|m.29042,turquoise,0.001964459,0.007499607,0.645090035
lcl|c217525_g1_i1|m.5229,turquoise,0.000549762,0.005484071,0.334460868
lcl|c240158_g2_i1|m.26858,turquoise,4.08E-05,0.020275894,0.544840236
lcl|c218119_g1_i3|m.5570,turquoise,9.02E-05,0.027450113,0.443832224
lcl|c229374_g5_i1|m.14220,turquoise,0.03372027,0.014871387,0.542869719
lcl|c210994_g1_i1|m.2320,turquoise,0.000882354,0.001481883,0.559151807
lcl|c212237_g2_i1|m.2659,turquoise,0.006428136,0.004764526,0.258004563
lcl|c212839_g1_i3|m.2877,turquoise,0.000174744,0.013959578,0.562540064
lcl|c239240_g3_i4|m.25490,turquoise,3.46E-05,0.02158813,0.800458315
lcl|c222451_g1_i1|m.8369,turquoise,3.96E-07,0.100744558,0.934608597
lcl|c229132_g1_i2|m.13984,turquoise,0.020977889,0.027138513,0.518569803
lcl|c226593_g2_i1|m.11607,turquoise,6.90E-05,0.14801221,0.21571189
lcl|c222682_g3_i7|m.8525,turquoise,0.00054617,0.015399575,0.386722786
lcl|c236234_g4_i10|m.21877,turquoise,0.001265631,0.012364128,0.841318971
lcl|c233001_g2_i4|m.18006,turquoise,0.000249817,0.013734339,0.804877864
lcl|c212813_g1_i1|m.2853,turquoise,0.000722229,0.262878231,0.995706844
lcl|c214925_g1_i1|m.3737,turquoise,0.000106165,0.023602614,0.792124272
lcl|c237612_g2_i11|m.23489,turquoise,0.000191334,0.015193397,0.914047476
lcl|c222548_g1_i3|m.8426,turquoise,0.004294667,0.001075786,0.40815596
lcl|c235389_g5_i2|m.20890,turquoise,0.001796994,0.042657205,0.916770989
lcl|c227969_g2_i1|m.12933,turquoise,0.000251082,0.274626971,0.904141863
lcl|c240846_g1_i2|m.27805,turquoise,0.000208304,0.237568715,0.585906014
lcl|c241754_g2_i1|m.28913,turquoise,0.003328931,0.154997931,0.943256497
lcl|c228728_g1_i3|m.13596,turquoise,0.003444618,0.22815819,0.318085199
lcl|c214032_g1_i4|m.3331,turquoise,1.48E-06,0.068694208,0.695358662
lcl|c224624_g2_i1|m.10023,turquoise,1.72E-06,0.191863146,0.634780467
lcl|c203193_g1_i1|m.1308,turquoise,0.001879563,0.001712791,0.95887642
lcl|c242868_g4_i4|m.30303,turquoise,0.002746269,0.016493139,0.120551769
lcl|c244259_g1_i1|m.31949,turquoise,0.011048894,0.204163016,0.893815702
lcl|c240251_g4_i1|m.26961,turquoise,3.69E-05,0.056680914,0.839557038
lcl|c220008_g2_i5|m.6705,turquoise,0.001257675,0.026538046,0.72318832
lcl|c216201_g2_i1|m.4428,turquoise,0.0032079,0.016866559,0.774949427
lcl|c231043_g3_i4|m.15925,turquoise,8.55E-05,0.033867293,0.258889692
lcl|c235184_g7_i1|m.20675,turquoise,5.87E-05,0.075332416,0.981961616
lcl|c229538_g7_i4|m.14373,turquoise,3.46E-05,0.230402519,0.961598266
lcl|c230054_g1_i7|m.14897,turquoise,0.000642886,0.023413966,0.569911053
lcl|c231068_g6_i2|m.15939,turquoise,0.001458153,0.000998421,0.565342169
lcl|c213278_g3_i2|m.3010,turquoise,8.65E-05,0.229795249,0.680257847
lcl|c229936_g2_i1|m.14790,turquoise,5.36E-06,0.263923887,0.926707046
lcl|c227794_g1_i1|m.12770,turquoise,0.000606508,0.02742887,0.571930686
lcl|c219636_g2_i1|m.6494,turquoise,0.001512956,0.004607493,0.241249697
lcl|c232597_g5_i12|m.17580,turquoise,0.015535439,0.012411597,0.745840565
lcl|c220977_g2_i3|m.7288,turquoise,0.001043174,0.051252177,0.417312946
lcl|c227562_g6_i1|m.12582,turquoise,1.27E-05,0.063480669,0.3100938
lcl|c233948_g1_i2|m.19238,turquoise,0.001504019,0.07221823,0.305618425
lcl|c225156_g8_i2|m.10407,turquoise,0.017404517,0.00106946,0.975807707
lcl|c240077_g1_i1|m.26736,turquoise,0.000660347,0.39677362,0.975412225
lcl|c221225_g1_i1|m.7492,turquoise,1.03E-06,0.104114477,0.800835394
tr|Q8GTH9|Q8GTH9_9DINO,turquoise,0.004515454,0.136832118,0.454848952
lcl|c218881_g3_i2|m.6022,turquoise,0.003901575,0.015692532,0.514056293
lcl|c219601_g1_i1|m.6471,turquoise,0.000374803,0.360560904,0.297428285
lcl|c204019_g1_i1|m.1366,turquoise,0.005936069,0.050176543,0.343992677
lcl|c210423_g1_i5|m.2178,turquoise,0.000227737,0.094705516,0.833133319
lcl|c242461_g1_i4|m.29816,turquoise,5.00E-05,0.317828437,0.421018869
lcl|c215093_g1_i2|m.3818,turquoise,0.007518186,0.172555899,0.123497834
lcl|c219662_g1_i2|m.6507,turquoise,0.002239184,0.001183515,0.900729622
lcl|c238393_g3_i1|m.24472,turquoise,0.000284442,0.048675585,0.667125737
lcl|c219710_g2_i1|m.6538,turquoise,7.08E-05,0.01876793,0.408155584
lcl|c219828_g4_i5|m.6597,turquoise,1.66E-05,0.416112709,0.79737767
lcl|c223454_g1_i3|m.9139,turquoise,8.58E-07,0.094271054,0.880594001
lcl|c226084_g3_i2|m.11194,turquoise,0.002814861,0.010685619,0.850716002
lcl|c239962_g2_i3|m.26573,turquoise,0.001005956,0.382560678,0.894224959
lcl|c213311_g2_i1|m.3017,turquoise,1.15E-05,0.135720047,0.903022362
lcl|c230771_g2_i1|m.15607,turquoise,0.000838835,0.002928484,0.617818765
lcl|c220945_g4_i2|m.7256,turquoise,6.06E-05,0.057538548,0.82882306
lcl|c224263_g3_i1|m.9688,turquoise,0.001763749,0.14373039,0.262991846
lcl|c222957_g1_i2|m.8747,turquoise,1.68E-05,0.178786806,0.649867699
lcl|c219662_g1_i1|m.6506,turquoise,0.001009745,0.005541825,0.860330713
lcl|c226607_g5_i2|m.11621,turquoise,0.000108993,0.021422379,0.928020352
lcl|c224781_g7_i2|m.10124,turquoise,0.002627827,0.097211425,0.54689283
tr|A0A1Q9E704|A0A1Q9E704_SYMMI,turquoise,0.002299536,0.106422723,0.540459198
lcl|c217008_g4_i3|m.4896,turquoise,9.47E-05,0.15910056,0.687111716
lcl|c227069_g2_i1|m.12100,turquoise,7.01E-05,0.048943225,0.473258105
lcl|c239652_g2_i1|m.26096,turquoise,0.008621026,0.070150314,0.602045197
lcl|c226216_g1_i2|m.11298,turquoise,8.61E-06,0.286045728,0.753284857
lcl|c222960_g2_i1|m.8750,turquoise,2.58E-07,0.19235011,0.827289016
lcl|c232249_g2_i1|m.17180,turquoise,3.07E-06,0.080590963,0.515621946
lcl|c231698_g2_i1|m.16532,turquoise,3.54E-05,0.084895114,0.239833819
lcl|c242527_g2_i1|m.29909,turquoise,1.09E-05,0.267558587,0.358985953
lcl|c213117_g1_i3|m.2966,turquoise,0.000256139,0.029947686,0.718552111
lcl|c233212_g2_i5|m.18273,turquoise,0.000138018,0.497934688,0.45756985
lcl|c218647_g3_i1|m.5884,turquoise,5.25E-05,0.216365309,0.964900034
lcl|c214228_g4_i6|m.3409,turquoise,6.70E-06,0.300556782,0.869524326
lcl|c234914_g2_i2|m.20413,turquoise,0.00128874,0.014792756,0.358579516
lcl|c243393_g3_i1|m.30930,turquoise,8.67E-07,0.265395226,0.936171961
lcl|c226450_g3_i4|m.11486,turquoise,1.10E-06,0.124534144,0.680440299
lcl|c223677_g1_i1|m.9303,turquoise,1.83E-06,0.438320302,0.647953294
lcl|c240274_g5_i1|m.26994,turquoise,0.000149537,0.406208354,0.316367211
tr|A9YYK3|A9YYK3_ACRMI,turquoise,0.000579356,0.295969863,0.345130729
lcl|c220142_g1_i3|m.6768,turquoise,0.046763647,0.997939092,0.388128184
lcl|c210749_g1_i1|m.2273,turquoise,0.000190521,0.037922498,0.522587499
lcl|c226971_g4_i9|m.11985,turquoise,0.00046365,0.461683422,0.578666866
lcl|c240699_g3_i1|m.27614,turquoise,0.003813413,0.192436338,0.300471355
lcl|c218375_g1_i1|m.5756,turquoise,2.86E-05,0.381741229,0.776389991
lcl|c238903_g3_i2|m.25053,turquoise,3.21E-07,0.402344209,0.943775307
lcl|c232931_g1_i10|m.17922,turquoise,0.001409632,0.188378836,0.18006554
lcl|c210444_g2_i1|m.2183,turquoise,3.39E-05,0.348923452,0.514831749
lcl|c227297_g1_i3|m.12321,turquoise,0.018301927,0.046875819,0.571766236
lcl|c222682_g3_i1|m.8524,turquoise,2.33E-06,0.066832864,0.932498259
lcl|c241916_g1_i1|m.29146,turquoise,1.43E-05,0.06349488,0.952491722
lcl|c241874_g1_i11|m.29053,turquoise,0.000584981,0.162000122,0.952779153
lcl|c229025_g3_i1|m.13888,turquoise,4.70E-07,0.200752691,0.882921904
lcl|c244474_g3_i1|m.32253,turquoise,0.000325169,0.513082689,0.459053044
lcl|c224130_g1_i5|m.9625,turquoise,0.000390538,0.046689898,0.580932076
lcl|c220106_g1_i3|m.6753,turquoise,0.001561146,0.002069541,0.613873358
lcl|c230124_g3_i6|m.14973,turquoise,6.60E-08,0.15201133,0.624451861
lcl|c234108_g1_i2|m.19454,turquoise,0.002303284,0.218577826,0.23164338
lcl|c218123_g3_i2|m.5572,turquoise,0.091050297,0.465307808,0.269710346
lcl|c227993_g1_i6|m.12952,turquoise,0.000660217,0.386549392,0.888022382
lcl|c224672_g1_i1|m.10055,turquoise,4.36E-06,0.25020121,0.73857545
lcl|c218722_g1_i2|m.5914,turquoise,0.001274292,0.019941863,0.122059944
lcl|c243893_g1_i1|m.31474,turquoise,3.03E-07,0.180004267,0.716452389
lcl|c237969_g1_i5|m.23942,turquoise,0.004834955,0.193925119,0.289785677
lcl|c224880_g4_i1|m.10208,turquoise,0.026641035,0.185011447,0.412466406
lcl|c226009_g3_i3|m.11129,turquoise,0.003820926,0.2298747,0.157731283
lcl|c219184_g1_i2|m.6256,turquoise,0.006297935,0.761247621,0.334966754
lcl|c210031_g1_i1|m.2099,turquoise,1.49E-05,0.385580032,0.803529343
lcl|c238173_g3_i3|m.24203,turquoise,7.36E-07,0.484115068,0.987718028
lcl|c210031_g1_i2|m.2100,turquoise,1.38E-06,0.171631692,0.963816044
lcl|c234626_g4_i3|m.20042,turquoise,6.13E-08,0.115473067,0.942527824
tr|A0A1Q9F1D7|A0A1Q9F1D7_SYMMI,turquoise,0.001109972,0.72588869,0.602266705
lcl|c201155_g1_i1|m.1182,turquoise,3.33E-06,0.092661365,0.541295335
lcl|c219583_g2_i1|m.6468,turquoise,0.001784549,0.014229037,0.221078447
lcl|c231142_g1_i2|m.15992,turquoise,0.002305435,0.129439483,0.109394126
lcl|c225236_g1_i1|m.10458,turquoise,2.09E-05,0.40025739,0.992317212
lcl|c216289_g7_i1|m.4487,turquoise,4.32E-06,0.29210727,0.98723745
lcl|c227467_g2_i2|m.12463,turquoise,9.62E-06,0.273065903,0.613251515
lcl|c222929_g2_i3|m.8717,turquoise,1.35E-05,0.047239077,0.957376195
lcl|c230011_g2_i5|m.14861,turquoise,1.72E-05,0.314476955,0.748544775
lcl|c237211_g6_i4|m.23025,turquoise,0.021178433,0.237339416,0.352548834
lcl|c240852_g1_i3|m.27810,turquoise,1.26E-06,0.469745786,0.92215766
lcl|c227928_g1_i1|m.12895,turquoise,6.73E-05,0.048264223,0.727611082
lcl|c216306_g1_i1|m.4516,turquoise,0.006357024,0.30587763,0.343766613
lcl|c235239_g6_i4|m.20736,turquoise,3.69E-05,0.0249119,0.634830141
lcl|c229751_g1_i1|m.14591,turquoise,0.00264041,0.564939226,0.223955918
lcl|c217447_g9_i5|m.5205,turquoise,5.03E-08,0.256686652,0.904972743
lcl|c212784_g2_i1|m.2837,turquoise,3.76E-05,0.351039289,0.870077051
lcl|c222419_g1_i2|m.8314,turquoise,6.89E-06,0.08823573,0.689804746
lcl|c223870_g1_i6|m.9447,turquoise,5.12E-05,0.518608603,0.469275273
lcl|c238581_g1_i1|m.24692,turquoise,0.005929704,0.031111743,0.35636167
lcl|c270076_g1_i1|m.32416,turquoise,1.40E-05,0.218067282,0.314362524
lcl|c232401_g7_i2|m.17338,turquoise,4.53E-05,0.289472017,0.404311664
lcl|c206427_g2_i1|m.1540,turquoise,2.99E-07,0.216336336,0.736857906
lcl|c233033_g3_i4|m.18064,turquoise,0.002849449,0.666436097,0.751515813
lcl|c224672_g2_i1|m.10058,turquoise,7.77E-06,0.102563665,0.635446177
lcl|c235513_g2_i1|m.20994,turquoise,0.001347727,0.032471281,0.958229339
lcl|c216377_g1_i3|m.4559,turquoise,0.021558457,0.004419915,0.590990713
lcl|c238429_g5_i1|m.24515,turquoise,5.90E-06,0.175214218,0.57816844
lcl|c227713_g1_i1|m.12700,turquoise,3.54E-07,0.309362291,0.567971923
lcl|c233948_g1_i1|m.19236,turquoise,0.001787516,0.415072349,0.258492956
lcl|c224597_g3_i1|m.10003,turquoise,3.81E-06,0.360134437,0.920067943
lcl|c230270_g1_i2|m.15107,turquoise,0.00035,0.077863566,0.727096757
lcl|c232854_g3_i11|m.17840,turquoise,7.92E-05,0.275704833,0.189592503
tr|Q8H1I6|Q8H1I6_SYMKA,turquoise,0.019747961,0.461941061,0.713634728
lcl|c224263_g3_i3|m.9691,turquoise,5.65E-05,0.671658815,0.808963244
lcl|c242089_g1_i1|m.29373,turquoise,7.08E-05,0.12289181,0.732019862
lcl|c230034_g1_i1|m.14877,turquoise,0.000850198,0.016520567,0.752844856
lcl|c234421_g4_i11|m.19820,turquoise,0.004079059,0.140772485,0.258001278
lcl|c229342_g3_i1|m.14175,turquoise,0.004311887,0.028266988,0.970146393
lcl|c231043_g3_i3|m.15924,turquoise,0.001002003,0.085237159,0.247774038
lcl|c244235_g1_i2|m.31919,turquoise,1.30E-06,0.417132559,0.924740706
lcl|c224698_g7_i11|m.10070,turquoise,0.038106643,0.36763544,0.139103839
lcl|c231083_g2_i1|m.15952,turquoise,0.011223491,0.172938299,0.569666361
lcl|c220409_g3_i3|m.6926,turquoise,1.05E-06,0.262714825,0.960254993
lcl|c236793_g3_i9|m.22532,turquoise,0.000485298,0.032301788,0.947415837
lcl|c237969_g1_i2|m.23941,turquoise,0.051095335,0.633657165,0.798874654
lcl|c214228_g4_i5|m.3407,turquoise,0.000306609,0.060102308,0.872311681
lcl|c222526_g1_i2|m.8408,turquoise,5.31E-05,0.035432592,0.911176807
lcl|c230011_g2_i4|m.14860,turquoise,2.68E-05,0.170884258,0.359976294
lcl|c218298_g7_i1|m.5703,turquoise,0.049910028,0.116479911,0.178491434
lcl|c236256_g2_i1|m.21902,turquoise,0.001734979,0.105395592,0.489194213
tr|A0A1Q9CXB4|A0A1Q9CXB4_SYMMI,turquoise,0.002409917,0.323960237,0.210735794
lcl|c241650_g2_i1|m.28824,turquoise,2.48E-06,0.405593964,0.828422202
WP_013065971.1,turquoise,1.64E-06,0.527499292,0.997528643
lcl|c233767_g1_i3|m.18989,turquoise,0.000905641,0.183459554,0.248910812
lcl|c240877_g2_i2|m.27858,turquoise,9.41E-05,0.184113708,0.999249605
lcl|c219636_g2_i3|m.6495,turquoise,0.016122834,0.017326303,0.1286401
lcl|c243954_g3_i1|m.31569,turquoise,1.54E-07,0.207925323,0.816310486
lcl|c241252_g2_i5|m.28366,turquoise,0.061170243,0.127316918,0.741982153
lcl|c222971_g1_i1|m.8762,turquoise,0.005775308,0.019082739,0.987553154
lcl|c238381_g2_i1|m.24446,turquoise,0.012374974,0.038500797,0.866436567
lcl|c229881_g6_i6|m.14719,turquoise,0.006208998,0.291493879,0.517747363
lcl|c231559_g1_i5|m.16408,turquoise,9.66E-05,0.213800549,0.501252993
lcl|c215763_g2_i2|m.4182,turquoise,2.61E-05,0.369301968,0.757954621
lcl|c225236_g1_i1|m.10459,turquoise,6.43E-06,0.548743838,0.606921605
lcl|c240370_g1_i1|m.27121,turquoise,0.00142038,0.023679279,0.263756122
lcl|c228583_g6_i1|m.13441,turquoise,9.04E-06,0.317035781,0.619751976
lcl|c229550_g1_i3|m.14392,turquoise,1.45E-06,0.475347101,0.969151827
lcl|c234054_g3_i2|m.19385,turquoise,1.81E-07,0.166974659,0.899831687
lcl|c225423_g3_i2|m.10600,turquoise,6.27E-07,0.305665827,0.841320028
lcl|c230073_g1_i10|m.14919,turquoise,0.004137526,0.005751335,0.981438752
lcl|c238676_g4_i3|m.24804,turquoise,4.80E-05,0.357235981,0.782210282
lcl|c237191_g2_i5|m.23010,turquoise,7.11E-05,0.385636297,0.685664825
tr|A0A1Q9C858|A0A1Q9C858_SYMMI,turquoise,3.55E-06,0.341053155,0.574588399
lcl|c216942_g4_i3|m.4860,turquoise,0.08352253,0.079349097,0.851475907
